id,單字,组词,原註,罕度
324,確,的確(的确),,0
327,學,學習(学习),,0
328,學,學校(学校),,0
329,握,握手,,0
333,剝,剝削(剥削),,0
334,剝,剝奪(剥夺),,0
335,駁,反駁(反驳),,0
336,駁,駁船(驳船),,0
337,雹,冰雹,,0
341,離,分離(分离),,0
343,麗,華麗(华丽),,0
344,璃,琉璃,琉璃,0
345,璃,玻璃,玻璃,0
348,劑,藥劑(药剂),,0
351,斯,斯文,,0
353,隨,跟隨(跟随),,0
355,肢,四肢,,0
356,支,支持,,0
357,只,只有,,0
358,枝,樹枝(树枝),,0
359,氏,姓氏,姓氏,0
360,氏,月氏,月氏,0
361,炊,炊煙(炊烟),,0
362,吹,吹風(吹风),,0
363,提,提高,,0
364,垂,垂直,,0
365,匙,鑰匙(钥匙),鑰匙,0
366,匙,茶匙,茶匙，湯匙，一本作「瓷」,0
367,堤,堤壩(堤坝),,0
368,施,實施(实施),,0
369,兒,兒子(儿子),,0
370,規,規則(规则),,0
373,蛇,委蛇,委蛇,0
374,蛇,毒蛇,毒蛇,0
376,移,移動(移动),,0
378,脾,脾氣(脾气),,0
385,示,表示,,0
386,累,積累(积累),累積,0
387,累,連累(连累),受累；連累,0
388,累,果實累累(果实累累),果實累累，同「纍」,0
390,紫,紫色,,0
391,此,彼此,,0
394,紙,紙張(纸张),,0
398,是,是非,,0
404,企,企業(企业),,0
406,積,堆積(堆积),,0
407,刺,刺激,,0
411,睡,睡覺(睡觉),,0
412,瑞,祥瑞,,0
413,翅,翅膀,,0
416,易,容易,容易,0
417,易,交易,交易,0
418,臂,手臂,,0
419,避,避免,,0
421,知,知道,知道,0
422,知,知識(知识),知識,0
423,蜘,蜘蛛,,0
424,池,水池,,0
425,錘,鐵錘(铁锤),鐵錘，稱錘,0
426,馳,奔馳(奔驰),,0
427,差,差別(差别),差別,0
428,差,出差,出差,0
429,差,參差(参差),參差,0
430,衰,衰老,衰老,0
431,衰,齊衰(齐衰),齊衰,0
436,虧,虧損(亏损),,0
437,崖,山崖,,0
438,儀,儀式(仪式),,0
439,宜,適宜(适宜),,0
441,危,危險(危险),,0
442,犧,犧牲(牺牲),,0
445,戲,遊戲(游戏),,0
448,椅,椅子,,0
