聲紐,呼,等,韻部,聲調,組,攝,單字,罕
影,開,二,麻,去,影,假,婭,2
,,,,,,,氬,2
影,開,三,元,上,影,山,偃,2
以,開,三,鹽A,上,以,咸,琰,2
疑,開,三,仙B,去,見,山,唁,1
以,開,三,鹽A,去,以,咸,灩,2
疑,開,二,刪,去,見,山,贗,2
以,開,三,陽,平,以,宕,暘,3
以,開,三,陽,平,,宕,煬,2
以,開,三,陽,去,,宕,煬,2
以,開,三,陽,平,,宕,佯,2
影/影,開/開,三/三,陽/陽,去/上,,宕/宕,怏,2
以,開,三,宵A,平,,效,徭,2
以,開,三,尤,平,,流,繇,2
以,開,三,清A,入,以,梗,掖,1
,,,,,,,揶,2
疑,開,三,嚴,入,見,咸,鄴,2
云/云,開/開,三/三,緝B/葉B,入/入,,深/咸,曄,2
影,開,三,脂A,平,影,止,咿,2
,,,,,,,銥,2
影/影,開/開,三/三,支B/支B,平/上,,止/止,猗,2
影,開,三,之,平,,止,噫,2
以,開,三,之,平,,止,詒,2
以,開,三,脂A,平,以,止,痍,2
以,開,三,之,上,以,止,苡,2
影,開,三,支B,上,,止,旖,2
影,開,三,支B,平,,止,旖,2
以,開,三,清A,入,以,梗,懌,2
以,開,三,真A,入,,臻,軼,2
定,開,四,魂,入,,山,軼,2
影,開,三,侵B,入,影,深,悒,2
影,開,三,蒸,入,影,曾,癔,2
影,開,三,侵B,平,,深,喑,2
疑/疑,開/開,三/三,眞B/欣,平/平,,臻/臻,狺,2
,,,,,,,鄞,2
以,開,三,真A,去,以,臻,胤,2
影,開,二,耕,平,影,梗,嚶,2
影,開,三,清A,平,影,梗,瓔,2
以,開,三,清A,平,以,梗,楹,2
以,開,三,清A,平,以,梗,嬴,2
以,開,三,清A,上,以,梗,郢,2
影,開,三,清A,上,影,梗,癭,2
常,開,三,鍾,平,章,通,慵,2
,,,,,,,壅,2
影,開,三,鍾,平,,通,臃,2
常/以,開/開,三/三,鍾/鍾,平/平,,通/通,鱅,2
影,開,三,幽,平,影,流,呦,2
以,開,三,尤,平,以,流,猷,2
以,開,三,尤,上,以,流,牖,2
以,開,三,魚,平,以,遇,璵,2
以,開,三,魚,平,,遇,歟,2
以,合,三,虞,平,,遇,臾,2
,,,,,,,揄,2
疑,開,三,鍾,平,見,通,喁,2
以,合,三,虞,平,以,遇,腴,2
以/以,合/合,三/三,虞/虞,平/去,,遇/遇,覦,2
影,合,三,虞,上,影,遇,傴,2
以,合,三,真A,入,以,臻,聿,2
疑,開,三,燭,入,,通,鈺,2
曉,合,三,蒸,入,影,曾,閾,2
云,合,三,元,平,影,山,爰,2
疑,合,三,元,平,,臻,黿,2
云,合,三,元,平,,臻,媛,2
云,合,三,仙B,去,,山,媛,2
云,合,三,仙B,去,影,山,瑗,2
云,合,三,元,入,影,山,鉞,2
云,合,三,文,平,影,臻,紜,2
云,合,三,文,去,影,臻,鄆,2
影,合,三,文,上,影,臻,惲,2
影,合,一,魂,平,,臻,韞,2
影,合,三,文,上,,臻,韞,2
精,開,一,,入,,咸,匝,2
精,開,一,,入,,咸,咂,2
莊,開,二,麻,去,,假,咋,2
莊,開,二,耕,入,,梗,咋,2
崇,開,二,庚,入,,梗,咋,2
從,開,一,寒,上,精,山,瓚,2
崇,開,二,耕,入,莊,梗,賾,2
精,開,三,蒸,去,精,曾,甑,2
章,開,三,仙A,平,章,山,旃,2
,,,,,,,譫,2
定,開,一,盍,入,,咸,譫,2
知,開,三,鹽B,平,知,咸,霑,2
,,,,,,,譫,2
章,開,一,盍,入,,咸,譫,2
章,開,三,陽,去,章,宕,嶂,2
,,,,,,,幛,2
端,合,一,歌,上,端,果,鍺,2
章,開,三,麻,去,章,假,柘,2
章,開,三,麻,去,章,假,鷓,2
章,開,三,侵A,平,章,深,箴,2
章/章,開/開,三/三,眞A/眞A,上/平,,臻/臻,畛,2
章,開,三,眞A,上,,臻,縝,2
,,,,,,,縝,2
初,開,二,耕,平,莊,梗,錚,2
章,開,三,脂A,平,章,止,祗,2
章,開,三,清A,入,章,梗,跖,2
章,開,三,之,上,章,止,沚,2
,,,,,,,酯,2
澄,開,三,真B,入,知,臻,帙,2
章,開,三,真A,入,章,臻,桎,2
章,開,三,脂A,去,章,止,鷙,2
初,開,三,尤,平,,流,謅,2
澄,開,三,東,入,,通,妯,2
徹,開,三,尤,平,,流,妯,2
澄,開,三,尤,去,知,流,胄,2
澄,開,三,燭,入,,通,躅,2
,,,,,,,躅,2
章,開,三,魚,上,章,遇,渚,2
章,合,三,仙A,平,章,山,顓,2
知,合,三,仙B,去,知,山,囀,2
崇/崇,合/合,二/三,刪/仙B,上/去,,山/山,饌,2
章,開,三,陽,入,章,宕,斫,2
精,開,三,支A,平,精,止,貲,2
莊,開,三,之,平,莊,止,淄,2
莊,開,三,支B,平,莊,止,齜,2
精,開,一,東,入,精,通,鏃,2
從,開,一,模,去,精,遇,祚,2
,,,,,,,唑,2
,,,,,,,,3
澄,開,三,藥,入,知,宕,着,0
章,開,三,陽,平,章,宕,獐,2
知,開,三,藥,入,知,宕,着,0
群,合,三,文,平,見,臻,羣,0
崇,開,二,庚,平,莊,梗,傖,2
匣,開,二,皆,去,影,蟹,瀣,2
滂,開,三,支B,平,幫,止,鈹,2
幫,開,三,脂,去,幫,止,鉍,2
,,,,,,,鎳,2
,,,,,,,婀,2
,,,,,,,鎵,2
,,,,,,,銣,2
,,,,,,,鉬,2
,,,,,,,銦,2
,,,,,,,鈮,2
,,,,,,,鉭,2
,,,,,,,釙,2
幫,合,三,陽,平,幫,宕,鈁,2
,,,,,,,釷,2
,,,,,,,鈈,2
,,,,,,,苄,2
,,,,,,,錒,2
,,,,,,,氘,2
,,,,,,,蒽,2
,,,,,,,碸,2
,,,,,,,呋,2
,,,,,,,坩,2
見,開,一,模,平,見,遇,胍,2
,,,,,,,焓,2
,,,,,,,腈,2
,,,,,,,醌,2
,,,,,,,脒,2
,,,,,,,萘,2
,,,,,,,脲,2
,,,,,,,哌,2
,,,,,,,巰,2
,,,,,,,酞,2
,,,,,,,熵,2
,,,,,,,醣,0
,,,,,,,吡,2
,,,,,,,吲,2
,,,,,,,哚,2
,,,,,,,孬,2
,,,,,,,朊,2
,,,,,,,仂,2
,,,,,,,佧,2
,,,,,,,倮,2
,,,,,,,傯,2
,,,,,,,氽,2
,,,,,,,氚,2
,,,,,,,凇,2
見,合,三,陽,去,見,宕,誑,2
生,開,三,東,入,莊,通,謖,2
,,,,,,,坌,2
,,,,,,,圩,2
,,,,,,,垸,2
,,,,,,,垸,2
,,,,,,,塄,2
,,,,,,,艿,2
,,,,,,,艿,2
來,開,四,青,入,來,梗,藶,2
曉,開,三,陽,平,影,宕,薌,2
心,開,三,東,平,精,通,菘,2
,,,,,,,菪,2
,,,,,,,葶,2
生,開,二,江,入,莊,江,蒴,2
,,,,,,,夼,2
見,開,三,侵B,入,見,深,芨,2
,,,,,,,搠,2
精,合,一,寒,入,精,山,攥,2
,,,,,,,卟,2
,,,,,,,呔,2
,,,,,,,哐,2
,,,,,,,噝,2
,,,,,,,呲,2
,,,,,,,啵,2
,,,,,,,啵,2
,,,,,,,唰,2
,,,,,,,嗪,2
匣,開,一,豪,平,影,效,嗥,2
,,,,,,,噯,2
,,,,,,,嗵,2
,,,,,,,嘞,2
精,開,一,覃,入,精,咸,嘁,1
,,,,,,,噘,2
,,,,,,,囝,2
清,開,三,清A,平,精,梗,圊,2
,,,,,,,帔,2
匣,開,四,先,上,影,山,峴,2
,,,,,,,嶴,2
,,,,,,,岣,2
,,,,,,,峁,2
以,開,三,清A,入,以,梗,嶧,2
,,,,,,,崮,2
,,,,,,,嶁,2
,,,,,,,噙,2
,,,,,,,猁,2
初,開,二,耕,平,莊,梗,噌,2
,,,,,,,懨,2
,,,,,,,惝,2
滂,合,三,東,平,幫,通,灃,2
見,開,三,仙B,上,見,山,謇,2
疑,合,三,元,平,見,山,沅,2
知,開,三,魚,平,知,遇,瀦,2
,,,,,,,羼,2
影,合,三,虞,平,影,遇,紆,2
,,,,,,,縵,2
幫,開,三,真B,平,幫,臻,玢,2
,,,,,,,玳,2
以,開,三,宵A,平,以,效,珧,2
澄,開,二,肴,去,知,效,棹,2
,,,,,,,棰,2
見,合,三,虞,上,見,遇,榘,0
,,,,,,,槭,2
從,開,三,陽,平,精,宕,檣,2
崇,開,二,麻,平,莊,假,楂,2
以,合,三,仙A,平,以,山,櫞,2
,,,,,,,槭,2
日,開,三,之,去,日,止,珥,2
透,開,一,談,去,端,咸,賧,2
,,,,,,,犛,2
定,開,一,東,去,端,通,胴,2
見,合,一,寒,上,見,山,脘,2
書,合,三,虞,去,章,遇,腧,2
,,,,,,,媵,2
,,,,,,,歙,2
,,,,,,,歙,2
,,,,,,,颮,2
影,開,三,支B,平,影,止,欹,2
,,,,,,,焱,2
,,,,,,,煊,2
,,,,,,,砭,2
崇,開,二,夬,去,莊,蟹,砦,2
,,,,,,,硌,2
,,,,,,,硌,2
,,,,,,,碚,2
幫,合,三,元,去,幫,山,畈,2
影,合,三,元,上,影,山,畹,2
,,,,,,,鐗,2
,,,,,,,鐗,2
疑,開,一,唐,入,見,宕,鍔,2
滂,合,三,虞,平,幫,遇,稃,2
,,,,,,,稹,2
知,開,三,鍾,入,知,通,瘃,2
,,,,,,,癜,2
並,合,三,元,平,幫,山,袢,2
,,,,,,,褳,2
,,,,,,,褙,2
日,合,三,虞,平,日,遇,襦,2
,,,,,,,頇,2
日,開,三,鹽A,入,日,咸,顳,2
明,開,一,寒,平,幫,山,顢,2
以,開,三,尤,平,以,流,蚰,2
影,開,三,幽,上,影,流,蚴,2
見,開,四,添,入,見,咸,蛺,2
云,合,三,庚,平,影,梗,蠑,2
,,,,,,,螋,2
,,,,,,,螅,2
,,,,,,,笸,2
精,開,三,清A,平,精,梗,箐,2
溪,開,四,添,入,見,咸,篋,2
,,,,,,,籪,2
,,,,,,,糌,2
,,,,,,,趔,2
,,,,,,,踅,2
見,開,二,麻,平,見,假,跏,2
,,,,,,,蹁,2
見,開,四,先,平,見,山,鰹,2
莊,開,三,之,平,莊,止,鯔,2
,,,,,,,鰳,2
,,,,,,,鱈,2
,,,,,,,韃,2
,,,,,,,鞣,2
,,,,,,,髁,2
,,,,,,,髭,2
,,,,,,,麇,2
,,,,,,,麇,2
見,開,三,脂B,上,見,止,麂,2
來,開,四,齊,平,來,蟹,黧,2
精,開,一,豪,去,精,效,竈,0
滂,合,三,鍾,平,幫,通,峯,0
,,,,,,,坩,2
,,,,,,,堝,2
明,開,四,先,去,幫,山,麪,0
並,開,二,銜,去,幫,咸,湴,3
幫,開,二,肴,平,,效,齙,3
,,,,,,,屄,3
並,開,三,職,入,,曾,煏,3
幫,開,三,真B,入,幫,臻,潷,3
徹,開,三,支B,平,知,止,魑,3
徹/來,開/開,三/三,支B/支A,平/平,,止/止,黐,3
徹,開,三,清B,入,知,梗,彳,3
定,開,一,寒,平,端,山,胆,0
,,,,,,,氹,3
端,開,一,登,上,,曾,戥,3
定,開,一,東,去,,通,戙,3
,,,,,,,奀,3
見,合,三,脂B,上,見,止,簋,3
匣,合,二,刪,上,影,山,鯇,3
見,開,二,麻,平,見,假,豭,3
,,,,,,,焗,3
溪,開,一,咍,去,見,蟹,嘅,3
,,,,,,,冚,3
,,,,,,,墈,3
來,開,三,支A,去,來,止,詈,3
來,開,三,陽,上,來,宕,魎,3
來,開,四,青,平,來,梗,泠,3
來,開,三,蒸,平,來,曾,淩,1
來,開,一,模,平,來,遇,艫,3
來/來,合/合,三/三,仙A/仙A,上/去,,山/山,孌,3
來,合,三,仙A,上,,山,臠,3
明,開,二,刪,去,幫,山,嫚,3
明,開,一,歌,平,幫,果,劘,3
明,開,三,支A,上,,止,芈,3
明,開,四,青,入,幫,梗,糸,3
,,,,,,,褦,3
滂,開,三,昔,入,,梗,辟,0
羣,開,三,侵B,平,,深,黚,3
羣,開,三,鹽B,平,,咸,黚,3
生,開,二,覺,入,,江,欶,3
明,合,三,陽,上,幫,宕,魍,3
,,,,,,,炆,3
影,合,三,文,上,,臻,搵,3
影,開,四,先,上,,山,躽,3
疑,開,三,魚,上,見,遇,圉,3
以,開,三,東,入,以,通,逳,3
澄,開,三,藥,入,知,宕,着,0
知,開,三,藥,入,知,宕,着,0
匣,開,二,皆,去,影,蟹,瀣,2
云,合,三,支B,平,影,止,為,0
云,合,三,支B,去,影,止,為,0
,,,,,,,鈧,3
,,,,,,,鎵,2
,,,,,,,銣,2
,,,,,,,鉬,2
,,,,,,,鍀,3
,,,,,,,銠,3
,,,,,,,鐠,3
,,,,,,,釹,3
,,,,,,,鉕,3
,,,,,,,鈥,3
,,,,,,,鈮,2
,,,,,,,鋨,3
日,開,三,脂A,去,日,止,弍,3
,,,,,,,釙,2
幫,合,三,陽,平,幫,宕,鈁,2
,,,,,,,釷,2
,,,,,,,鈈,2
,,,,,,,鎄,3
,,,,,,,鎇,3
,,,,,,,鍆,3
,,,,,,,氘,0
,,,,,,,矾,1
,,,,,,,碸,2
,,,,,,,蒄,3
,,,,,,,脲,2
,,,,,,,氕,3
,,,,,,,巰,2
,,,,,,,吲,2
,,,,,,,哚,2
,,,,,,,氚,2
,,,,,,,叻,3
,,,,,,,玳,2
精,開,一,豪,去,精,效,竈,2
泥,開,四,添,平,端,咸,鯰,2
見,開,一,覃,入,見,咸,鉿,2
見,開,,微,平,見,止,鉿,
,,,,,,,,
,,,,,,,埯,
清,開,三,侵A,去,精,深,吣,3
