聲紐,呼,等,韻部,聲調,組,攝,單字,罕
幫,合,三,虞,平,幫,遇,趺,2
並,合,三,虞,平,幫,遇,鳧,1
滂,合,三,物,入,,臻,茀,2
並,合,三,東,入,幫,通,茯,2
並,合,三,尤,平,幫,流,罘,2
並,合,三,虞,平,幫,遇,蚨,2
並,合,三,尤,平,幫,流,涪,2
滂,合,三,虞,上,幫,遇,拊,2
滂,合,三,東,入,幫,通,蝮,2
,,,,,,,旮,2
曉,開,二,銜,入,影,咸,呷,2
見,開,一,咍,平,見,蟹,垓,2
見,開,一,寒,平,見,山,玕,2
見,開,一,談,平,見,咸,苷,2
曉,開,一,唐,上,影,宕,酐,2
見,開,一,寒,去,見,山,旰,2
見,開,一,覃,去,見,咸,紺,2
見/見,開/開,一/一,覃/覃,上/去,,咸/咸,灨,2
知/曉,開/開,二/一,江/東,去/去,,江/通,戇,2
見,開,一,豪,平,,效,睾,2
見,開,一,豪,上,見,效,杲,2
見,開,一,豪,上,,效,縞,2
溪/見,開/開,一/一,豪/豪,上/上,,效/效,槁,2
見,開,一,豪,去,見,效,誥,2
,,,,,,,鋯,2
疑/疑,開/開,三/三,真B/迄,入/入,,臻/臻,圪,2
疑,開,三,欣,入,見,臻,疙,1
來,開,四,青,入,,梗,鬲,2
見,開,二,耕,入,,梗,鬲,2
見,開,二,耕,入,見,梗,嗝,2
見,開,二,耕,入,見,梗,膈,2
來,開,四,青,入,來,梗,鎘,2
見,開,二,庚,平,見,梗,賡,2
見,開,三,鍾,平,見,通,龔,2
,,,,,,,珙,2
曉,開,一,侯,去,影,流,佝,2
見,開,一,侯,上,見,流,笱,2
溪,開,一,模,平,見,遇,軲,2
見,開,一,模,平,見,遇,蛄,2
見,開,一,模,上,見,遇,鈷,2
匣,合,一,魂,入,,臻,鶻,2
見,合,一,魂,入,,臻,鶻,2
匣,合,二,鎋,入,,山,鶻,2
,,,,,,,臌,2
見,開,一,沃,入,,通,梏,2
見,開,一,模,去,見,遇,痼,2
見/見,合/合,一/二,末/黠,入/入,,山/山,鴰,2
匣,合,二,刪,上,,山,莞,2
見,合,二,刪,去,見,山,摜,2
見/見,合/合,一/一,桓/桓,去/上,,山/山,盥,2
,,,,,,,咣,2
見,合,四,青,上,,梗,炅,2
