id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
1346,書,合,三,祭A,去,章,蟹,稅,0,稅收(税收),,0
1347,書,開,三,祭A,去,章,蟹,勢,0,勢力(势力),,0
1348,日,合,三,祭A,去,日,蟹,鈉,0,鈉(钠),,1
1349,疑,開,三,祭A,去,見,蟹,藝,0,藝術(艺术),,0
1350,,,,,,,,洩,1,排洩(排泄),排洩,0
1351,以,開,三,祭A,去,以,蟹,洩,1,洩洩(泄泄),洩洩,0
1352,以,合,三,祭A,去,以,蟹,銳,0,尖銳(尖锐),,0
1353,以,開,三,祭A,去,以,蟹,曳,0,搖曳(摇曳),,2
1354,以,開,三,祭A,去,以,蟹,泄,0,泄露,,0
1355,以,開,三,祭A,去,以,蟹,裔,0,後裔(后裔),,2
1356,幫,開,三,祭A,去,幫,蟹,蔽,0,遮蔽,,0
1357,幫,開,三,祭A,去,幫,蟹,彆,0,彆扭(别扭),,0
1358,並,開,三,祭A,去,幫,蟹,敝,0,敝帚自珍,,2
1359,並,開,三,祭A,去,幫,蟹,斃,0,斃命(毙命),,0
1360,並,開,三,祭A,去,幫,蟹,弊,0,弊端,,0
1361,並,開,三,祭A,去,幫,蟹,幣,0,貨幣(货币),,0
1362,知,合,三,祭B,去,知,蟹,輟,0,輟學(辍学),,2
1363,知,合,三,祭B,去,知,蟹,啜,0,啜泣,,2
1364,知,合,三,祭B,去,知,蟹,綴,1,點綴(点缀),點綴,1
1365,知,合,三,仙B,入,知,山,綴,1,綴足(缀足),綴足,1
1366,澄,開,三,祭B,去,知,蟹,滯,0,滯留(滞留),,1
1367,見,合,三,祭B,去,見,蟹,鱖,0,鱖魚(鳜鱼),,2
1368,溪,開,三,祭B,去,見,蟹,憩,0,休憩,,2
1369,溪,開,三,祭B,去,見,蟹,揭,0,揭示,,0
1370,云,合,三,祭B,去,影,蟹,衛,0,保衛(保卫),,0
1371,端,開,四,齊,平,端,蟹,柢,0,根柢,,2
1372,端,開,四,齊,平,端,蟹,低,0,降低,,0
1373,透,開,四,齊,平,端,蟹,梯,0,樓梯(楼梯),,0
1374,定,開,四,齊,平,端,蟹,蹄,0,馬蹄(马蹄),,0
1375,定,開,四,齊,平,端,蟹,啼,0,啼哭,,1
1376,定,開,四,齊,平,端,蟹,締,0,締造(缔造),,1
1377,定,開,四,齊,平,端,蟹,題,0,題目(题目),,0
1378,章,開,三,仙A,入,章,山,折,1,骨折,骨折,0
1379,常,開,三,仙A,入,章,山,折,1,折本,折本,0
1380,泥,開,四,齊,平,端,蟹,泥,1,泥土,泥土,0
1381,泥,開,四,齊,去,端,蟹,泥,1,拘泥,拘泥,0
1382,來,開,四,齊,平,來,蟹,犁,0,犁田,,0
1383,來,開,四,齊,平,來,蟹,黎,0,黎明,,0
1384,精,開,四,齊,平,精,蟹,擠,0,擁擠(拥挤),,0
1385,清,開,四,齊,平,精,蟹,妻,0,妻子,,0
1386,清,開,四,齊,平,精,蟹,萋,0,萋萋,,2
1387,清,開,四,齊,平,精,蟹,淒,0,淒涼(凄凉),,1
1388,清,開,四,齊,平,精,蟹,悽,0,悽慘(凄惨),,1
1389,從,開,四,齊,平,精,蟹,齊,1,整齊(整齐),整齊,0
1390,,,,,,,,齊,1,齊衰(齐衰),齊衰,0
1391,從,開,四,齊,平,精,蟹,臍,0,肚臍(肚脐),,1
1392,心,開,四,齊,平,精,蟹,棲,0,棲息(栖息),,1
1393,心,開,四,齊,平,精,蟹,犀,0,犀牛,,1
1394,心,開,四,齊,平,精,蟹,撕,0,撕毀(撕毁),,0
1395,心,開,四,齊,平,精,蟹,西,0,西方,,0
1396,心,開,四,齊,平,精,蟹,嘶,0,嘶鳴(嘶鸣),,1
1397,見,合,四,齊,平,見,蟹,圭,0,圭臬,,2
1398,見,開,四,齊,平,見,蟹,雞,0,雞肉(鸡肉),,0
1399,見,合,四,齊,平,見,蟹,閨,0,閨房(闺房),,1
1400,見,合,四,齊,平,見,蟹,鮭,0,鮭魚(鲑鱼),,2
1401,見,開,四,齊,平,見,蟹,稽,1,無稽之談(无稽之谈),無稽之談,1
1402,溪,開,四,齊,上,見,蟹,稽,1,稽首,稽首,1
1403,溪,開,四,齊,平,見,蟹,溪,0,溪流,,0
1404,溪,合,四,齊,平,見,蟹,睽,0,睽違(睽违),,2
1405,溪,開,四,齊,平,見,蟹,谿,0,谿,,3
1406,疑,開,四,齊,平,見,蟹,霓,0,霓虹,,2
1407,疑,開,四,齊,平,見,蟹,倪,0,端倪,,2
1408,匣,開,四,齊,平,影,蟹,奚,0,奚落,,2
1409,匣,合,四,齊,平,影,蟹,攜,0,攜帶(携带),,0
1410,匣,開,四,齊,平,影,蟹,兮,0,,,2
1411,匣,合,四,齊,平,影,蟹,畦,0,菜畦,,1
1412,明,開,四,齊,平,幫,蟹,迷,0,迷路,,0
1413,滂,開,四,齊,平,幫,蟹,批,0,批評(批评),,0
1414,端,開,四,齊,上,端,蟹,抵,0,抵抗,,0
1415,端,開,四,齊,上,端,蟹,牴,0,牴,,3
1416,端,開,四,齊,上,端,蟹,底,0,底部,,0
1417,端,開,四,齊,上,端,蟹,邸,0,府邸,,2
1418,透,開,四,齊,上,端,蟹,涕,0,鼻涕,,1
1419,透,開,四,齊,上,端,蟹,體,0,身體(身体),,0
1420,定,開,四,齊,上,端,蟹,遞,0,傳遞(传递),,0
1421,定,開,四,齊,上,端,蟹,弟,0,弟弟,,0
1422,來,開,四,齊,上,來,蟹,豊,0,豊,,3
1423,來,開,四,齊,上,來,蟹,禮,0,禮物(礼物),,0
1424,精,開,四,齊,上,精,蟹,濟,1,人才濟濟(人才济济),人才濟濟,0
1425,精,開,四,齊,去,精,蟹,濟,1,救濟(救济),救濟,0
1426,心,開,四,齊,上,精,蟹,洗,0,洗澡,,0
1427,並,開,四,齊,上,幫,蟹,陛,0,陛下,,2
1428,明,開,四,齊,上,幫,蟹,米,0,大米,,0
1429,端,開,四,齊,去,端,蟹,帝,0,皇帝,,0
1430,端,開,四,齊,去,端,蟹,嚏,0,噴嚏(喷嚏),,2
1431,端,開,四,齊,去,端,蟹,諦,0,真諦(真谛),,2
1432,透,開,四,齊,去,端,蟹,剃,0,剃頭(剃头),,0
1433,透,開,四,齊,去,端,蟹,替,0,代替,,0
1434,定,開,四,齊,去,端,蟹,逮,0,逮捕,,0
1435,定,開,四,齊,去,端,蟹,第,0,第一,,0
1436,來,開,四,齊,去,來,蟹,捩,1,拨捩,琵琶撥法,3
1437,來,開,四,先,入,來,山,捩,1,捩手,捩手,3
1438,來,開,四,齊,去,來,蟹,隸,0,奴隸(奴隶),,0
1439,來,開,四,齊,去,來,蟹,戾,0,暴戾,,2
1440,清,開,四,齊,去,精,蟹,砌,0,堆砌,,0
1441,清,開,四,齊,去,精,蟹,切,1,一切,一切,0
1442,清,開,四,先,入,精,山,切,1,急切,急切,0
1443,心,開,四,齊,去,精,蟹,細,0,仔細(仔细),,0
1444,見,開,四,齊,去,見,蟹,髻,0,髮髻(发髻),,2
1445,見,合,四,齊,去,見,蟹,桂,0,桂花,,0
1446,見,開,四,齊,去,見,蟹,計,0,計劃(计划),,0
1447,匣,開,四,齊,去,影,蟹,繫,1,聯繫(联系),聯繫,0
1448,見,開,四,齊,去,見,蟹,繫,1,繫鞋帶(系鞋带),繫鞋帶,0
1449,見,開,四,齊,去,見,蟹,繼,0,繼承(继承),,0
1450,見,開,四,齊,去,見,蟹,係,0,關係(关系),,0
1451,溪,開,四,齊,去,見,蟹,契,1,契約(契约),契約,1
1452,溪,開,三,欣,入,見,臻,契,1,契丹,契丹,1
1453,溪,開,四,先,入,見,山,契,1,契,殷商的始祖,1
1454,疑,開,四,齊,去,見,蟹,羿,0,后羿,,2
1455,匣,合,四,齊,去,影,蟹,蕙,0,蕙質蘭心(蕙质兰心),,2
1456,匣,開,四,齊,去,影,蟹,系,0,系統(系统),,0
1457,匣,合,四,齊,去,影,蟹,惠,0,恩惠,,0
1458,匣,合,四,齊,去,影,蟹,慧,0,智慧,,0
1459,幫,開,四,齊,去,幫,蟹,閉,0,封閉(封闭),,0
1460,明,開,四,齊,去,幫,蟹,謎,0,謎語(谜语),,0
1461,滂,開,四,齊,去,幫,蟹,媲,0,媲美,,2
1462,透,開,一,咍,平,端,蟹,胎,0,輪胎(轮胎),,1
1463,定,開,一,咍,平,端,蟹,臺,0,舞臺(舞台),,0
1464,定,開,一,咍,平,端,蟹,檯,0,櫃檯(柜台),,0
1465,定,開,一,咍,平,端,蟹,苔,1,青苔,青苔,1
1466,定,開,一,咍,平,端,蟹,苔,1,舌苔,舌苔,1
1467,泥,開,一,咍,平,端,蟹,能,0,能力,,0
1468,來,開,一,咍,平,來,蟹,來,0,過來(过来),,0
1469,來,開,一,咍,平,來,蟹,萊,0,萊茵河(莱茵河),,1
1470,精,開,一,咍,平,精,蟹,災,0,災難(灾难),,0
1471,精,開,一,咍,平,精,蟹,哉,0,嗚呼哀哉(呜呼哀哉),,2
1472,精,開,一,咍,平,精,蟹,栽,0,栽培,,0
1473,清,開,一,咍,平,精,蟹,猜,0,猜測(猜测),,0
1474,從,開,一,咍,平,精,蟹,材,0,材料,,0
1475,從,開,一,咍,平,精,蟹,財,0,財產(财产),,0
1476,從,開,一,咍,平,精,蟹,裁,0,裁判,,0
1477,從,開,一,咍,平,精,蟹,才,0,才能,,0
1478,心,開,一,咍,平,精,蟹,鰓,0,魚鰓(鱼鳃),,2
1479,見,開,一,咍,平,見,蟹,該,0,應該(应该),,0
1480,見,開,一,咍,平,見,蟹,賅,0,言簡意賅(言简意赅),,2
1481,溪,開,一,咍,平,見,蟹,開,0,打開(打开),,0
1482,疑,開,一,咍,平,見,蟹,皚,0,皚皚(皑皑),,2
1483,匣,開,一,咍,平,影,蟹,孩,0,孩子,,0
1484,,,,,,,,咳,1,咳嗽,咳嗽,0
1485,匣,開,一,咍,平,影,蟹,咳,1,小兒笑(小儿笑),小兒笑,0
1486,影,開,一,咍,平,影,蟹,唉,0,唉呀,,0
1487,影,開,一,咍,平,影,蟹,哀,0,悲哀,,0
1488,影,開,一,咍,平,影,蟹,埃,0,塵埃(尘埃),,1
1489,影,開,一,咍,上,影,蟹,欸,1,欸,,3
1490,,,,,,,,欸,1,欸,,3
1491,端,開,一,咍,上,端,蟹,等,0,等待,,0
1492,定,開,一,咍,上,端,蟹,怠,0,懈怠,,0
1493,定,開,一,咍,上,端,蟹,待,0,等待,,0
1494,定,開,一,咍,上,端,蟹,殆,0,百戰不殆(百战不殆),,2
1495,泥,開,一,咍,上,端,蟹,迺,0,,,2
1496,泥,開,一,咍,上,端,蟹,乃,0,乃至,,0
1497,精,開,一,咍,上,精,蟹,載,1,一年半載(一年半载),一年半載,0
1498,精,開,一,咍,去,精,蟹,載,1,記載(记载),記載,0
1499,精,開,一,咍,上,精,蟹,宰,0,宰相,,0
1500,清,開,一,咍,上,精,蟹,採,0,採摘(采摘),,0
1501,清,開,一,咍,上,精,蟹,采,0,風采(风采),,0
1502,清,開,一,咍,上,精,蟹,彩,0,彩色,,0
1503,清,開,一,咍,上,精,蟹,綵,0,綵帶(彩带),,0
1504,從,開,一,咍,上,精,蟹,在,0,存在,,0
1505,見,開,一,咍,上,見,蟹,改,0,改變(改变),,0
1506,溪,開,一,咍,上,見,蟹,凱,0,凱旋(凯旋),,0
1507,曉,開,一,咍,上,影,蟹,海,0,海洋,,0
1508,匣,開,一,咍,上,影,蟹,亥,0,亥時(亥时),,1
1509,端,開,一,咍,去,端,蟹,戴,0,愛戴(爱戴),,0
1510,透,開,一,咍,去,端,蟹,態,0,態度(态度),,0
1511,透,開,一,咍,去,端,蟹,貸,0,借貸(借贷),,2
1512,定,開,一,咍,去,端,蟹,岱,0,岱嶽(岱岳),,2
1513,定,開,一,咍,去,端,蟹,代,0,代表,,0
1514,定,開,一,咍,去,端,蟹,袋,0,口袋,,0
1515,定,開,一,咍,去,端,蟹,黛,0,粉黛,,2
1516,泥,開,一,咍,去,端,蟹,耐,0,忍耐,,0
1517,來,開,一,咍,去,來,蟹,睞,0,青睞(青睐),,2
1518,精,開,一,咍,去,精,蟹,再,0,再次,,0
1519,清,開,一,咍,去,精,蟹,菜,0,蔬菜,,0
1520,心,開,一,登,入,精,曾,塞,1,塞車(塞车),塞車,0
1521,心,開,一,咍,去,精,蟹,塞,1,邊塞(边塞),塞外,0
1522,心,開,一,咍,去,精,蟹,賽,0,比賽(比赛),,0
1523,見,開,一,咍,去,見,蟹,概,0,大概,,0
1524,溪,開,一,咍,去,見,蟹,慨,0,感慨,,0
1525,疑,開,一,咍,去,見,蟹,礙,0,障礙(障碍),,0
1526,影,開,一,咍,去,影,蟹,愛,0,愛情(爱情),,0
1527,端,合,一,灰,平,端,蟹,搥,0,搥,,3
1528,端,合,一,灰,平,端,蟹,堆,0,堆積(堆积),,0
1529,端,合,一,灰,平,端,蟹,敦,0,敦厚,,1
1530,定,合,一,灰,平,端,蟹,頹,0,頹廢(颓废),,1
1531,來,合,一,灰,平,來,蟹,雷,0,打雷,,0
1532,來,合,一,灰,平,來,蟹,儡,0,傀儡,,1
1533,來,合,一,灰,平,來,蟹,鐳,0,鐳射(镭射),,2
1534,清,合,一,灰,平,精,蟹,崔,0,崔,,1
1535,清,合,一,灰,平,精,蟹,催,0,催促,,0
1536,從,合,一,灰,平,精,蟹,摧,0,摧毀(摧毁),,0
1537,心,合,一,灰,平,精,蟹,蓑,0,蓑衣,,2
1538,溪,合,一,灰,上,見,蟹,傀,1,傀儡,傀儡,1
1539,見,合,一,灰,平,見,蟹,傀,1,傀偉(傀伟),傀偉,1
1540,溪,合,一,灰,平,見,蟹,恢,0,恢復(恢复),,0
1541,溪,合,一,灰,平,見,蟹,魁,0,魁梧,,1
1542,溪,合,一,灰,平,見,蟹,盔,0,頭盔(头盔),,1
1543,疑,合,一,灰,平,見,蟹,桅,0,桅杆,,1
1544,疑,合,一,灰,平,見,蟹,嵬,0,崔嵬,,2
1545,曉,合,一,灰,平,影,蟹,灰,0,灰色,,0
1546,匣,合,一,灰,平,影,蟹,回,0,回來(回来),,0
1547,匣,合,一,灰,平,影,蟹,瑰,1,玫瑰,玫瑰,1
1548,見,合,一,灰,平,見,蟹,瑰,1,瑰麗(瑰丽),瑰麗,1
1549,匣,合,一,灰,平,影,蟹,洄,0,洄游,,2
1550,匣,合,一,灰,平,影,蟹,迴,0,迴旋(回旋),,0
1551,匣,合,一,灰,平,影,蟹,徊,0,徘徊,,1
1552,影,合,一,灰,平,影,蟹,偎,0,依偎,,1
1553,幫,合,一,灰,平,幫,蟹,杯,0,杯子,,0
1554,幫,合,一,灰,平,幫,蟹,盃,0,茶杯,,0
1555,並,合,一,灰,平,幫,蟹,陪,0,陪伴,,0
1556,並,合,一,灰,平,幫,蟹,徘,0,徘徊,,1
1557,並,合,一,灰,平,幫,蟹,培,0,培養(培养),,0
1558,明,合,一,灰,平,幫,蟹,媒,0,媒體(媒体),,1
1559,明,合,一,灰,平,幫,蟹,莓,0,草莓,,2
1560,明,合,一,灰,平,幫,蟹,梅,0,梅花,,0
1561,明,合,一,灰,平,幫,蟹,枚,0,一枚,,1
1562,明,合,一,灰,平,幫,蟹,煤,0,煤炭,,0
1563,透,合,一,灰,上,端,蟹,腿,0,大腿,,0
1564,泥,合,一,灰,上,端,蟹,餒,0,氣餒(气馁),,1
1565,來,合,一,灰,上,來,蟹,蕾,0,花蕾,,1
1566,清,合,一,灰,上,精,蟹,璀,0,璀璨,,2
1567,從,合,一,灰,上,精,蟹,罪,0,犯罪,,0
1568,曉,合,一,灰,上,影,蟹,悔,0,後悔(后悔),,0
1569,曉,合,一,灰,上,影,蟹,賄,0,賄賂(贿赂),,0
1570,並,合,一,灰,上,幫,蟹,蓓,0,蓓蕾,,2
1571,並,合,一,灰,上,幫,蟹,倍,0,加倍,,0
1572,明,合,一,灰,上,幫,蟹,每,0,每天,,0
1573,滂,合,一,灰,上,幫,蟹,啡,0,咖啡,,1
1574,端,合,一,灰,去,端,蟹,對,0,面對(面对),,0
1575,透,合,一,灰,去,端,蟹,退,0,後退(后退),,0
1576,定,合,一,灰,去,端,蟹,隊,0,團隊(团队),,0
1577,泥,合,一,灰,去,端,蟹,內,0,內部(内部),,0
1578,清,合,一,灰,去,精,蟹,淬,0,淬火,,2
1579,心,合,一,灰,去,精,蟹,碎,0,破碎,,0
1580,溪,合,一,灰,去,見,蟹,塊,0,石塊(石块),,0
1581,曉,合,一,灰,去,影,蟹,誨,0,教誨(教诲),,1
1582,曉,合,一,灰,去,影,蟹,晦,0,晦氣(晦气),,1
1583,匣,合,一,灰,去,影,蟹,潰,0,潰瘍(溃疡),,1
1584,幫,合,一,灰,去,幫,蟹,輩,0,前輩(前辈),,0
1585,並,合,一,灰,去,幫,蟹,背,1,背誦(背诵),背書,0
1586,幫,合,一,灰,去,幫,蟹,背,1,背後(背后),背後,0
1587,並,合,一,灰,去,幫,蟹,悖,0,悖論(悖论),,2
1588,並,合,一,灰,去,幫,蟹,珮,0,珮,,3
1589,並,合,一,灰,去,幫,蟹,佩,0,佩服,,0
1590,明,合,一,灰,去,幫,蟹,妹,0,妹妹,,0
1591,明,合,一,灰,去,幫,蟹,昧,0,愚昧,,1
1592,滂,合,一,灰,去,幫,蟹,配,0,配合,,0
1593,來,開,三,真A,平,來,臻,麟,0,麒麟,,2
1594,來,合,三,真A,平,來,臻,掄,0,掄刀(抡刀),,1
1595,來,開,三,真A,平,來,臻,磷,0,磷肥,,1
1596,來,開,三,真A,平,來,臻,鄰,0,鄰居(邻居),,0
1597,來,合,三,真A,平,來,臻,輪,0,車輪(车轮),,0
1598,來,合,一,魂,去,來,臻,論,1,討論(讨论),討論,0
1599,來,合,一,魂,平,來,臻,論,1,論語(论语),論語,0
1600,來,合,三,真A,平,來,臻,倫,0,倫理(伦理),,1
1601,來,合,三,真A,平,來,臻,綸,1,垂綸(垂纶),垂綸,2
1602,見,合,二,山,平,見,山,綸,1,綸巾(纶巾),綸巾,2
1603,來,開,三,真A,平,來,臻,鱗,0,魚鱗(鱼鳞),,1
1604,來,合,三,真A,平,來,臻,淪,0,淪陷(沦陷),,1
1605,精,合,三,真A,平,精,臻,遵,0,遵守,,0
1606,精,開,三,真A,平,精,臻,津,0,津津有味,,0
1607,清,合,三,真A,平,精,臻,竣,0,竣工,,1
1608,清,開,三,真A,平,精,臻,親,1,親人(亲人),親人,0
1609,清,開,三,真A,去,精,臻,親,1,親家(亲家),親家,0
1610,從,開,三,真A,平,精,臻,秦,0,秦朝,,1
1611,心,開,三,真A,平,精,臻,薪,0,薪水,,0
1612,心,合,三,真A,平,精,臻,詢,0,詢問(询问),,0
1613,心,開,三,真A,平,精,臻,新,0,新舊(新旧),,0
1614,心,開,三,真A,平,精,臻,辛,0,辛苦,,0
1615,邪,合,三,真A,平,精,臻,巡,0,巡邏(巡逻),,0
1616,邪,合,三,真A,平,精,臻,馴,0,馴養(驯养),,1
1617,邪,合,三,真A,平,精,臻,旬,0,上旬,,0
1618,邪,合,三,真A,平,精,臻,循,0,循環(循环),,0
1619,章,合,三,真A,平,章,臻,肫,0,肫,,3
1620,章,開,三,真A,平,章,臻,振,0,振奮(振奋),,0
1621,章,合,三,真A,平,章,臻,諄,0,諄諄(谆谆),,1
1622,章,開,三,真A,平,章,臻,真,0,真實(真实),,0
1623,章,開,三,真A,平,章,臻,甄,0,甄選(甄选),,2
1624,昌,開,三,真A,平,章,臻,瞋,0,瞋目,,3
1625,昌,合,三,真A,平,章,臻,春,0,春天,,0
1626,常,合,三,真A,平,章,臻,淳,0,淳樸(淳朴),,1
1627,常,合,三,真A,平,章,臻,醇,0,醇厚,,1
1628,常,開,三,真A,平,章,臻,辰,0,時辰(时辰),,0
1629,常,開,三,真A,平,章,臻,臣,0,大臣,,0
1630,常,開,三,真A,平,章,臻,宸,0,宸翰,,2
1631,常,合,三,真A,平,章,臻,純,0,純淨(纯净),,0
1632,常,合,三,真A,平,章,臻,鶉,1,鶉衣(鹑衣),鶉衣,2
1633,常,合,三,真A,平,章,臻,鶉,1,鵪鶉(鹌鹑),鵪鶉，鵪鶉蛋,2
1634,常,開,三,真A,平,章,臻,晨,0,早晨,,0
1635,書,開,三,真A,平,章,臻,身,0,身體(身体),,0
1636,書,開,三,真A,平,章,臻,申,0,申請(申请),,0
1637,書,開,三,真A,平,章,臻,伸,0,伸展,,0
1638,書,開,三,真A,平,章,臻,紳,0,紳士(绅士),,1
1639,書,開,三,真A,平,章,臻,呻,0,呻吟,,1
1640,船,合,三,真A,平,章,臻,脣,0,嘴脣(嘴唇),,0
1641,船,開,三,真A,平,章,臻,神,0,神仙,,0
1642,日,開,三,真A,平,日,臻,人,0,人類(人类),,0
1643,日,開,三,真A,平,日,臻,仁,0,仁慈,,0
1644,見,合,三,真A,平,見,臻,鈞,0,千鈞一髮(千钧一发),,1
1645,見,合,三,真A,平,見,臻,均,0,平均,,0
1646,影,開,三,真A,平,影,臻,因,0,因為(因为),,0
1647,影,開,三,真A,平,影,臻,茵,0,綠草如茵(绿草如茵),,1
1648,影,開,三,真A,平,影,臻,姻,0,婚姻,,0
1649,以,合,三,真A,平,以,臻,勻,0,均勻(均匀),,0
1650,幫,開,三,真A,平,幫,臻,濱,0,海濱(海滨),,0
1651,幫,開,三,真A,平,幫,臻,檳,0,檳榔(槟榔),,2
1652,幫,開,三,真A,平,幫,臻,賓,0,來賓(来宾),,0
1653,並,開,三,真A,平,幫,臻,蘋,0,蘋果(苹果),,0
1654,並,開,三,真A,平,幫,臻,頻,0,頻繁(频繁),,1
1655,明,開,三,真A,平,幫,臻,民,0,人民,,0
1656,滂,開,三,真A,平,幫,臻,繽,0,繽紛(缤纷),,1
1657,從,開,三,真A,上,精,臻,盡,0,盡力(尽力),,0
1658,心,合,三,真A,上,精,臻,筍,0,竹筍(竹笋),,0
1659,章,開,三,真A,上,章,臻,疹,0,濕疹(湿疹),,1
1660,章,開,三,真A,上,章,臻,診,0,診斷(诊断),,0
1661,章,合,三,真A,上,章,臻,准,0,批准,,0
1662,章,合,三,真A,上,章,臻,準,0,標準(标准),,0
1663,章,開,三,真A,上,章,臻,賑,0,賑災(赈灾),,2
1664,昌,合,三,真A,上,章,臻,蠢,0,愚蠢,,0
1665,常,開,三,真A,上,章,臻,腎,0,腎臟(肾脏),,0
1666,船,合,三,真A,上,章,臻,盾,0,矛盾,,0
1667,日,開,三,真A,上,日,臻,忍,0,忍耐,,0
1668,見,開,三,真A,上,見,臻,緊,0,緊張(紧张),,0
1669,以,開,三,真A,上,以,臻,蚓,0,蚯蚓,,1
1670,以,合,三,真A,上,以,臻,允,0,允許(允许),,0
1671,以,合,三,真A,上,以,臻,尹,0,令尹,,2
1672,以,開,三,真A,上,以,臻,引,0,引導(引导),,0
1673,並,開,三,真A,上,幫,臻,臏,0,孫臏(孙膑),,2
1674,來,開,三,真A,去,來,臻,藺,0,藺相如(蔺相如),,2
1675,來,開,三,真A,去,來,臻,遴,0,遴選(遴选),,2
1676,來,開,三,真A,去,來,臻,吝,0,吝嗇(吝啬),,1
1677,精,開,三,真A,去,精,臻,進,0,進步(进步),,0
1678,精,合,三,真A,去,精,臻,俊,0,英俊,,0
1679,精,開,三,真A,去,精,臻,晉,0,晉升(晋升),,0
1680,精,合,三,真A,去,精,臻,駿,0,駿馬(骏马),,1
1681,心,開,三,真A,去,精,臻,訊,0,訊息(讯息),,0
1682,心,合,三,真A,去,精,臻,峻,0,峻峭,,1
1683,心,開,三,真A,去,精,臻,迅,0,迅速,,0
1684,心,開,三,真A,去,精,臻,信,0,信任,,0
1685,邪,合,三,真A,去,精,臻,殉,0,殉職(殉职),,1
1686,章,開,三,真A,去,章,臻,震,0,地震,,0
1687,章,合,三,真A,去,章,臻,盹,0,打盹,,1
1688,常,開,三,真A,去,章,臻,慎,0,謹慎(谨慎),,0
1689,書,合,三,真A,去,章,臻,舜,0,堯舜(尧舜),,2
1690,書,合,三,真A,去,章,臻,瞬,0,瞬間(瞬间),,1
1691,船,合,三,真A,去,章,臻,順,0,順利(顺利),,0
1692,日,開,三,真A,去,日,臻,仞,0,千仞,,2
1693,日,合,三,真A,去,日,臻,閏,0,閏月(闰月),,1
1694,日,開,三,真A,去,日,臻,刃,0,刀刃,,0
1695,日,開,三,真A,去,日,臻,認,0,認識(认识),,0
1696,日,合,三,真A,去,日,臻,潤,0,滋潤(滋润),,0
1697,日,開,三,真A,去,日,臻,韌,0,韌性(韧性),,1
1698,影,開,三,真A,去,影,臻,印,0,打印,,0
1699,幫,開,三,真A,去,幫,臻,鬢,0,鬢角(鬓角),,1
1700,來,開,三,真A,入,來,臻,栗,0,栗子,,0
1701,來,合,三,真A,入,來,臻,律,0,法律,,0
1702,來,開,三,真A,入,來,臻,慄,0,戰慄(战栗),,0
1703,精,合,三,真A,入,精,臻,卒,1,士卒,士卒,1
1704,清,合,一,魂,入,精,臻,卒,1,倉卒(仓卒),倉卒,1
1705,精,開,三,真A,入,精,臻,唧,0,唧唧,,1
1706,清,開,三,真A,入,精,臻,柒,0,柒,,1
1707,清,開,三,真A,入,精,臻,七,0,七個(七个),,0
1708,清,開,三,真A,入,精,臻,漆,0,油漆,,0
1709,從,開,三,真A,入,精,臻,疾,0,疾病,,0
1710,心,開,三,真A,入,精,臻,窸,0,窸窣,,2
1711,心,開,三,真A,入,精,臻,悉,0,熟悉,,0
1712,心,開,三,真A,入,精,臻,膝,0,膝蓋(膝盖),,0
1713,心,合,三,真A,入,精,臻,恤,0,體恤(体恤),,1
1714,心,開,三,真A,入,精,臻,蟋,0,蟋蟀,,1
1715,心,合,三,真A,入,精,臻,戌,0,戌時(戌时),,2
1716,書,開,三,真A,入,章,臻,失,0,失去,,0
1717,書,開,三,真A,入,章,臻,室,0,教室,,0
1718,船,合,三,真A,入,章,臻,朮,0,白朮(白术),,0
1719,船,開,三,真A,入,章,臻,實,0,真實(真实),,0
1720,船,合,三,真A,入,章,臻,述,0,敘述(叙述),,0
1721,船,合,三,真A,入,章,臻,術,0,技術(技术),,0
1722,日,開,三,真A,入,日,臻,日,0,日期,,0
1723,見,合,三,真A,入,見,臻,橘,0,橘子,,0
1724,見,開,三,真A,入,見,臻,吉,0,吉祥,,0
1725,見,開,三,真A,入,見,臻,拮,0,拮据,,2
1726,影,開,三,真A,入,影,臻,壹,0,壹,,1
1727,影,開,三,真A,入,影,臻,一,0,一個(一个),,0
1728,以,開,三,真A,入,以,臻,逸,0,安逸,,1
1729,以,開,三,真A,入,以,臻,溢,0,溢出,,1
1730,以,開,三,真A,入,以,臻,佚,0,散佚,,2
1731,以,合,三,真A,入,以,臻,鷸,0,鷸蚌相爭(鹬蚌相争),,2
1732,幫,開,三,真A,入,幫,臻,必,0,必要,,0
1733,幫,開,三,真A,入,幫,臻,畢,0,畢業(毕业),,0
1734,明,開,三,真A,入,幫,臻,謐,0,靜謐(静谧),,2
1735,明,開,三,真A,入,幫,臻,蜜,0,蜂蜜,,0
1736,滂,開,三,真A,入,幫,臻,匹,0,匹配,,0
1737,娘,開,三,真B,平,知,臻,紉,0,縫紉(缝纫),,1
1738,知,開,三,真B,平,知,臻,填,0,填寫(填写),,0
1739,定,合,一,魂,平,端,臻,屯,1,屯兵,,0
1740,知,合,三,真B,平,知,臻,屯,1,屯留,,0
1741,知,開,三,真B,平,知,臻,珍,0,珍惜,,0
1742,知,開,三,真B,平,知,臻,鎮,0,鎮定(镇定),,0
1743,澄,開,三,真B,平,知,臻,塵,0,灰塵(灰尘),,0
1744,澄,開,三,真B,平,知,臻,陳,0,陳舊(陈旧),,0
1745,澄,開,三,真B,平,知,臻,趁,0,趁機(趁机),,0
1746,見,開,三,真B,平,見,臻,巾,0,毛巾,,0
