id,單字,组词,原註,罕度
16,朧,,,1
17,嚨,,,1
21,窿,,,1
23,囪,,,1
27,衷,,,1
42,蚣,,,1
56,鴻,,,1
62,楓,,,1
65,篷,,,1
68,馮,,馮姓,1
69,馮,,暴虎馮河,1
72,朦,,,1
73,檬,,,1
91,仲,,,1
96,甕,,,1
117,簇,,,1
120,鑿,,,1
127,軸,,,1
129,矗,,,1
131,淑,,,1
150,郁,,,1
158,蝠,,,1
166,沐,,,1
167,睦,,,1
168,穆,,,1
175,彤,,,1
178,膿,,流脓水,1
184,綜,,,1
189,褥,,,1
202,訟,,,1
214,茸,,,1
221,洶,,,1
223,匈,,,1
225,蓉,,,1
226,溶,,,1
240,聳,,,1
245,寵,,,1
251,拱,,,1
255,蛹,,,1
264,粟,,,1
274,蜀,,,1
276,贖,,,1
282,旭,,,1
288,樁,,,1
291,幢,,幡幢,1
292,幢,,量詞,1
293,幢,,海幢寺,1
296,肛,,,1
304,邦,,,1
305,龐,,,1
311,蚌,,,1
315,琢,,,1
316,卓,,,1
325,嶽,,,1
326,岳,,,1
346,漓,,,1
347,籬,,,1
349,雌,,,1
371,窺,,,1
372,墮,,,1
377,卑,,,1
379,瀰,,,1
381,彌,,,1
382,歧,,,1
392,髓,,,1
397,侈,,,1
399,弛,,,1
401,蕊,,,1
402,爾,,,1
409,賜,,,1
414,吱,,,1
420,譬,,,1
432,妓,,,1
433,畸,,,1
434,崎,,崎嶇,1
435,崎,,長崎,1
440,涯,,,1
450,萎,,枯萎,1
460,糜,,,1
467,揣,,,1
469,詭,,,1
478,靡,,,1
479,靡,,,1
488,諮,,,1
491,瓷,,,1
496,錐,,,1
500,屎,,,1
502,伊,,,1
504,胰,,,1
505,夷,,,1
519,鰭,,,1
523,履,,,1
525,姊,,,1
530,矢,,,1
539,痢,,,1
545,悴,,,1
547,嫉,,,1
550,粹,,,1
554,祟,,,1
556,遂,,,1
559,隧,,,1
560,摯,,,1
563,嗜,,,1
565,貳,,,1
568,庇,,,1
571,屁,,,1
580,椎,,鐵椎,1
581,椎,,脊椎,1
583,莉,,,1
596,薇,,,1
598,楣,,,1
609,膩,,,1
613,墜,,,1
614,稚,,,1
619,冀,,,1
627,泌,,,1
630,媚,,,1
648,伺,,窺伺,1
649,伺,,伺候,1
653,祠,,,1
654,痴,,,1
659,嗤,,,1
665,箕,,,1
668,熙,,,1
671,嬉,,,1
690,鯉,,,1
708,趾,,,1
712,恃,,,1
719,擬,,,1
724,吏,,,1
743,餌,,,1
752,嘰,,,1
754,譏,,,1
757,巍,,,1
761,徽,,,1
777,菲,,芳菲,1
778,菲,,菲薄,1
779,祈,,,1
787,葦,,,1
798,魏,,,1
800,諱,,,1
802,蔚,,,1
806,尉,,太尉,1
807,尉,,尉遲,1
811,謂,,,1
813,蝟,,,1
814,緯,,,1
821,廬,,,1
826,蛆,,,1
827,沮,,沮喪,1
828,沮,,沮水。水名,1
829,沮,,沮洳,1
861,衙,,,1
869,輿,,,1
879,侶,,,1
880,呂,,,1
887,抒,,,1
888,貯,,,1
899,墅,,,1
903,黍,,,1
915,炬,,,1
921,署,,,1
922,曙,,,1
924,恕,,,1
925,庶,,,1
932,豫,,,1
942,鍍,,,1
945,盧,,,1
946,顱,,,1
950,酥,,,1
953,箍,,,1
957,沽,,,1
960,蜈,,,1
961,梧,,,1
971,弧,,,1
972,葫,,,1
981,菩,,,1
983,蒲,,,1
988,睹,,,1
1000,滷,,,1
1012,賈,,商賈,1
1013,賈,,賈姓,1
1021,雇,,,1
1022,滬,,,1
1025,塢,,山塢,1
1026,塢,,船塢,1
1027,圃,,,1
1030,簿,,,1
1033,莽,,,1
1034,浦,,,1
1036,妒,,,1
1044,賂,,,1
1046,措,,,1
1064,晤,,,1
1071,哺,,,1
1075,募,,,1
1083,娶,,,1
1088,雛,,,1
1092,樞,,,1
1097,儒,,,1
1098,懦,,,1
1101,嶇,,,1
1102,軀,,,1
1104,摳,,,1
1107,隅,,,1
1111,吁,,,1
1114,迂,,,1
1115,芋,,,1
1118,逾,,,1
1122,舀,,,1
1129,芙,,,1
1132,蕪,,,1
1134,巫,,,1
1135,誣,,,1
1139,孵,,,1
1140,敷,,,1
1145,縷,,,1
1148,拄,,,1
1168,脯,,肉脯,1
1169,脯,,胸脯,1
1173,甫,,台甫,1
1174,甫,,十八甫,1
1179,鵡,,,1
1190,蛀,,,1
1195,寓,,,1
1197,喻,,,1
1199,籲,,,1
1205,賦,,,1
1216,汰,,,1
1220,兌,,,1
1221,奈,,,1
1224,癩,,,1
1231,丐,,,1
1232,磕,,,1
1233,轄,,,1
1235,艾,,,1
1236,渙,,,1
1242,藹,,,1
1244,沛,,,1
1245,狽,,,1
1248,穢,,,1
1250,吠,,,1
1262,蝸,,,1
1276,蟹,,,1
1283,懈,,,1
1284,卦,,,1
1290,齋,,,1
1292,楷,,楷書,1
1293,楷,,楷樹,1
1299,淮,,,1
1302,諧,,,1
1306,駭,,,1
1311,誡,,,1
1315,芥,,,1
1324,憊,,,1
1325,湃,,,1
1331,祭,,,1
1335,贅,,,1
1345,蛻,,,1
