id,單字,组词,原註,罕度
1064,晤,會晤(会晤),,1
1071,哺,哺育,,1
1075,募,招募,,1
1083,娶,娶妻,,1
1088,雛,雛鳥(雏鸟),,1
1092,樞,樞紐(枢纽),,1
1097,儒,儒學(儒学),,1
1098,懦,懦弱,,1
1101,嶇,崎嶇(崎岖),,1
1102,軀,身軀(身躯),,1
1104,摳,摳門(抠门),,1
1107,隅,角落,,1
1111,吁,氣喘吁吁(气喘吁吁),,1
1114,迂,迂腐,,1
1115,芋,芋頭(芋头),,1
1118,逾,逾期,,1
1122,舀,舀水,,1
1129,芙,芙蓉,,1
1132,蕪,荒蕪(荒芜),,1
1134,巫,巫師(巫师),,1
1135,誣,誣陷(诬陷),,1
1139,孵,孵化,,1
1140,敷,敷衍,,1
1145,縷,絲縷(丝缕),,1
1148,拄,拄杖,,1
1168,脯,肉脯,肉脯,1
1169,脯,胸脯,胸脯,1
1173,甫,台甫,台甫,1
1174,甫,十八甫,十八甫,1
1179,鵡,鸚鵡(鹦鹉),,1
1190,蛀,蛀牙,,1
1195,寓,公寓,,1
1197,喻,比喻,,1
1199,籲,呼籲(呼吁),,1
1205,賦,天賦(天赋),,1
1216,汰,淘汰,,1
1220,兌,兌換(兑换),,1
1221,奈,無奈(无奈),,1
1224,癩,癩痢(癞痢),,1
1231,丐,乞丐,,1
1232,磕,磕頭(磕头),,1
1233,轄,管轄(管辖),,1
1235,艾,艾草,,1
1236,渙,渙散(涣散),,1
1242,藹,和藹(和蔼),,1
1244,沛,充沛,,1
1245,狽,狼狽(狼狈),,1
1248,穢,污穢(污秽),,1
1250,吠,犬吠,,1
1262,蝸,蝸牛(蜗牛),,1
1276,蟹,螃蟹,,1
1283,懈,懈怠,,1
1284,卦,八卦,,1
1290,齋,齋戒(斋戒),,1
1292,楷,楷書(楷书),楷書,1
1293,楷,楷樹(楷树),楷樹,1
1299,淮,淮河,,1
1302,諧,和諧(和谐),,1
1306,駭,驚駭(惊骇),,1
