聲紐,呼,等,韻部,聲調,組,攝,單字
幫,開,三,真A,入,幫,臻,韠
幫,開,三,昔,入,,梗,躄
並,開,三,昔,入,,梗,躃
幫/幫,開/開,三/三,薛A/祭A,入/去,,山/蟹,鷩
幫,開,四,先,平,幫,山,籩
,,,,,,,煸
幫/並,開/開,三/三,仙A/仙A,平/平,,山/山,箯
幫,開,三,仙A,平,幫,山,鯾
幫,開,三,鹽B,去,幫,咸,窆
幫,開,四,先,上,幫,山,惼
幫,開,三,仙A,上,幫,山,褊
並,開,三,仙B,去,幫,山,忭
並,開,三,仙B,去,幫,山,昪
幫,開,四,先,去,幫,山,徧
並,開,四,先,上,幫,山,艑
並,開,三,仙A,平,,山,緶
幫/幫,開/開,三/三,宵A/幽,平/平,,效/流,髟
幫,開,三,宵A,平,幫,效,猋
並,開,三,宵A,上,,效,摽
並,開,三,幽,平,,流,滮
滂,開,三,宵B,上,,效,麃
幫,開,三,宵A,平,幫,效,熛
幫,開,三,宵B,平,幫,效,儦
幫/並,開/開,三/三,宵B/幽,平/平,,效/流,瀌
幫/幫,開/開,三/三,眞A/眞A,去/平,,臻/臻,儐
,,,,,,,璸
幫,開,三,真B,平,幫,臻,豳
並,開,三,真A,上,幫,臻,髕
幫,開,三,蒸,平,,曾,仌
幫,開,三,蒸,平,,曾,氷
幫,開,三,蒸,平,幫,曾,掤
幫,開,三,庚,上,,梗,邴
幫/幫,開/開,三/三,庚/庚,上/去,,梗/梗,怲
幫,開,三,庚,上,,梗,昺
崇,開,三,陽,平,,宕,疒
孃,開,二,麥,入,,梗,疒
幫,開,三,清,平,,梗,幷
幫,開,三,清,去,,梗,幷
幫,開,一,寒,入,幫,山,癶
幫,開,一,寒,入,幫,山,袚
幫,開,一,寒,入,幫,山,襏
幫,合,一,戈,平,,果,碆
並,合,一,魂,入,幫,臻,浡
幫,開,一,唐,入,幫,宕,餺
幫,開,一,唐,入,幫,宕,鎛
幫,開,二,江,入,幫,江,駮
,,,,,,,壆
幫,開,一,沃,入,,通,襮
幫,合,一,鐸,入,,宕,襮
,,,,,,,蘗
幫,開,一,模,平,幫,遇,晡
,,,,,,,吥
幫,開,一,模,平,,遇,抪
幫,開,一,模,去,,遇,抪
並,開,一,侯,上,,流,蔀
幫,開,一,模,平,,遇,餔
清,開,一,咍,去,精,蟹,埰
清,開,一,覃,平,精,咸,驂
清,開,一,覃,上,,咸,憯
清,開,一,唐,平,,宕,鶬
,,,,,,,鶬
從,開,一,豪,平,精,效,艚
清,開,一,豪,上,精,效,艸
,,,,,,,肏
見/見,開/開,四/二,怗/洽,入/入,,咸/咸,筴
,,,,,,,𥰡
,,,,,,,梣
,,,,,,,䉕
徹,開,二,佳,平,知,蟹,扠
初,開,二,咸,入,莊,咸,扱
,,,,,,,嗏
,,,,,,,鍤
初/從,開/開,二/一,麻/歌,平/平,,假/果,艖
,,,,,,,嵖
從,開,一,歌,平,,果,瘥
徹,開,三,鹽B,平,,咸,覘
徹,開,三,仙B,平,知,山,梴
昌,開,三,鹽A,平,,咸,幨
昌,開,三,鹽A,平,,咸,襜
崇,開,二,山,平,,山,僝
崇,合,三,仙B,去,,山,僝
常,開,三,仙A,平,,山,儃
常,開,三,仙A,平,,山,澶
崇/崇,開/開,二/二,咸/銜,平/平,,咸/咸,毚
端,開,一,寒,平,端,山,襌
初,開,二,銜,去,,咸,儳
澄,開,三,仙B,平,知,山,躔
崇/崇,開/開,二/二,銜/銜,平/去,,咸/咸,鑱
初,開,二,山,上,莊,山,剗
昌,開,三,仙A,上,,山,嘽
透,開,一,寒,平,,山,嘽
,,,,,,,𢱟
生,開,二,山,上,莊,山,嵼
昌,開,三,鹽A,去,章,咸,䠨
知,開,二,庚,去,,梗,倀
徹,開,三,陽,平,,宕,倀
昌,開,三,陽,平,章,宕,閶
昌,開,三,陽,平,,宕,䱽
昌,開,三,陽,平,章,宕,裮
澄,開,三,陽,平,知,宕,萇
常,開,三,陽,平,,宕,鱨
曉/曉,開/開,一/一,寒/寒,去/上,,山/山,厂
昌,開,三,陽,上,章,宕,𢠵
徹,開,三,陽,去,知,宕,鬯
徹,開,三,陽,去,知,宕,韔
昌/昌,開/開,三/三,宵A/宵A,平/上,,效/效,弨
澄,開,三,宵B,平,,效,鼂
精,開,三,宵A,上,精,效,漅
崇,開,二,肴,平,莊,效,轈
清,開,三,麻,去,,假,䞣
昌,開,三,麻,去,,假,䞣
徹,開,三,仙B,入,知,山,屮
徹,開,三,侵B,平,知,深,綝
,,,,,,,蔯
常,開,三,侵A,平,章,深,煁
