聲紐,呼,等,韻部,聲調,組,攝,單字
匣,開,一,模,去,,遇,沍
匣,開,一,模,上,影,遇,岵
匣,開,一,模,上,影,遇,怙
曉,合,一,魂,入,影,臻,笏
匣,開,一,模,去,,遇,擭
匣,合,一,鐸,入,,宕,擭
匣,開,一,模,去,,遇,濩
,,,,,,,嬅
曉,合,一,寒,平,影,山,貛
匣,合,一,桓,上,,山,綄
匣,合,二,刪,平,影,山,鍰
匣,合,二,刪,平,影,山,闤
匣,合,二,刪,平,影,山,鐶
匣,合,二,刪,上,影,山,睆
匣,合,一,寒,去,影,山,逭
曉,合,一,唐,平,影,宕,衁
匣,合,二,庚,平,,梗,喤
匣,合,一,唐,平,影,宕,獚
匣,合,一,唐,平,影,宕,癀
匣,合,一,唐,平,,宕,鰉
匣,合,一,唐,上,影,宕,皝
曉,合,三,微,上,,止,虺
曉,合,一,灰,平,,蟹,虺
曉,合,二,皆,平,,蟹,虺
曉,合,三,微,平,影,止,翬
曉,合,三,微,平,,止,煇
曉,合,三,支A,平,影,止,隳
曉,合,三,支B,上,影,止,燬
曉,合,三,支B,上,影,止,譭
見,合,一,泰,去,見,蟹,澮
影,合,三,支A,去,影,止,恚
匣,合,一,灰,去,影,蟹,闠
,,,,,,,湏
匣,合,一,灰,去,影,蟹,繢
曉,合,四,齊,去,,蟹,嘒
曉,合,四,齊,去,,蟹,嘒
邪,合,三,祭A,去,精,蟹,篲
匣,合,四,齊,去,影,蟹,蟪
曉,合,一,泰,去,影,蟹,翽
匣,合,四,齊,去,影,蟹,譓
曉,合,一,灰,去,影,蟹,靧
曉,合,一,魂,平,影,臻,閽
,,,,,,,涽
曉,合,一,魂,平,,臻,惛
匣,合,一,魂,去,影,臻,溷
匣,合,一,魂,去,影,臻,慁
匣/見,合/合,一/一,末/末,入/入,,山/山,佸
曉/曉,合/合,二/二,陌/麥,入/入,,梗/梗,湱
匣,合,二,庚,入,影,梗,嚄
曉,合,一,唐,入,影,宕,攉
見,開,四,齊,平,,蟹,乩
見,開,四,齊,平,見,蟹,枅
,,,,,,,㚻
見,開,三,支B,上,見,止,剞
精,開,三,職,入,,曾,喞
見,開,四,齊,平,,蟹,筓
精,開,四,齊,平,,蟹,齎
溪,開,三,支B,平,,止,攲
見,開,三,支B,平,,止,攲
見,開,三,支B,上,,止,攲
溪,開,三,支B,平,,止,觭
精,開,四,齊,平,精,蟹,齏
見/羣,開/開,三/三,之/之,平/平,,止/止,錤
群,開,三,微,平,見,止,𦠄
精/精,開/開,四/四,齊/齊,平/去,,蟹/蟹,隮
見,開,三,微,平,見,止,鐖
見,開,三,侵B,入,見,深,伋
羣,開,三,葉B,入,,咸,极
羣,開,三,業,入,,咸,极
群,開,三,真B,入,見,臻,佶
見,開,三,蒸,入,見,曾,殛
莊,開,三,侵B,入,莊,深,戢
清,開,三,藥,入,,宕,踖
精/精,開/開,三/三,昔/職,入/入,,梗/曾,鶺
莊,開,三,侵B,入,莊,深,濈
精,開,三,清A,入,精,梗,蹐
見,開,三,蒸,入,見,曾,襋
,,,,,,,泲
羣,開,三,微,平,,止,蟣
見,開,三,微,上,,止,蟣
見/見/溪,開/開/開,三/三/三,支B/支B/支B,上/平/去,,止/止/止,掎
見,開,三,微,上,見,止,穖
見,開,三,祭B,去,見,蟹,彐
見,開,三,微,去,見,止,旡
群,開,三,支B,去,見,止,芰
從,開,四,齊,去,精,蟹,嚌
羣/見,開/開,三/三,脂B/脂B,去/去,,止/止,洎
初/初,開/開,三/三,職/職,入/入,,曾/曾,畟
,,,,,,,𡜱
群,開,三,之,去,見,止,惎
羣,開,三,脂B,去,,止,塈
曉,開,三,微,去,,止,塈
群,開,三,脂B,上,見,止,跽
見,開,三,脂B,去,見,止,穊
從,開,四,齊,上,精,蟹,鱭
精,開,三,支A,平,,止,鮆
,,,,,,,鮆
見,開,三,祭B,去,見,蟹,罽
從/精/精,開/開/開,四/四/三,齊/齊/祭A,去/去/去,,蟹/蟹/蟹,穧
見,開,三,脂B,去,見,止,懻
見,開,二,麻,平,見,假,葭
初,開,二,麥,入,,梗,筴
見,開,二,麻,平,見,假,麚
見,開,二,山,入,見,山,圿
見,開,二,鎋,入,,山,恝
見,開,二,洽,入,,咸,跲
見,開,二,銜,入,見,咸,玾
見,開,二,麻,上,見,假,斝
見,開,二,麻,上,見,假,檟
見,開,二,皆,去,見,蟹,价
從,開,一,寒,平,精,山,戔
見,開,四,先,平,見,山,幵
精,開,三,鹽A,平,精,咸,鑯
見,開,二,刪,平,見,山,菅
精,開,三,仙A,平,,山,湔
,,,,,,,瑊
匣,開,二,咸,平,影,咸,椷
見,開,四,添,平,見,咸,鶼
精,開,四,先,平,,山,籛
見,開,四,添,平,,咸,鰜
見,開,四,先,平,見,山,鵳
,,,,,,,鰔
精,開,三,鹽A,平,精,咸,瀸
見,開,四,先,去,,山,梘
疑,開,四,先,平,,山,趼
,,,,,,,譾
精,開,三,仙A,上,精,山,戩
見/見,開/開,三/三,元/仙B,上/上,,臻/山,蹇
,,,,,,,㨴
,,,,,,,牮
從/精,開/開,三/三,仙A/仙A,上/上,,山/山,俴
羣,開,三,仙B,平,,山,揵
群,開,三,元,上,見,山,楗
從/從,開/開,三/三,仙A/仙A,上/去,,山/山,諓
精,開,三,陽,平,精,宕,螿
見,開,三,陽,平,見,宕,橿
見,開,三,陽,平,,宕,殭
見,開,三,陽,平,見,宕,䗵
見,開,二,江,去,,江,洚
羣,開,三,陽,去,,宕,糨
羣,開,三,尤,平,,流,艽
匣,開,二,肴,平,,效,胶
精,開,三,宵A,平,精,效,膲
精,開,三,宵A,平,,效,燋
精,開,三,宵A,平,精,效,鷦
見,開,二,肴,平,見,效,轇
精,開,三,宵A,平,,效,鐎
見/羣,開/開,三/三,宵B/宵B,平/平,,效/效,鷮
精,開,四,蕭,上,精,效,㭂
曉,開,三,尤,上,影,流,㽲
見/見,開/開,三/三,宵B/宵B,上/平,,效/效,撟
見,開,四,蕭,上,,效,恔
,,,,,,,𥅟
,,,,,,,煍
見,開,三,宵B,上,,效,蟜
見,開,四,蕭,上,見,效,皦
,,,,,,,挍
見,開,二,肴,去,見,效,珓
,,,,,,,滘
精,開,三,宵A,平,,效,噍
見,開,四,蕭,去,見,效,噭
,,,,,,,𥡱
,,,,,,,藠
從,開,三,藥,入,,宕,皭
精,開,三,宵A,去,,效,皭
見,開,二,皆,平,見,蟹,喈
見,開,二,皆,平,,蟹,湝
匣,開,二,皆,平,,蟹,湝
見,開,四,屑,入,,山,袺
匣,開,四,屑,入,,山,絜
見,開,四,屑,入,,山,絜
精,開,四,先,入,精,山,楶
,,,,,,,𪀾
見,開,二,皆,去,見,蟹,玠
見,開,二,皆,去,,蟹,悈
見,開,三,職,入,,曾,悈
見,開,二,夬,去,見,蟹,犗
見,開,二,皆,去,見,蟹,魪
見,開,三,侵B,平,見,深,衿
見,開,三,欣,上,,臻,卺
見,開,三,欣,上,,臻,堇
羣,開,三,眞B,平,,臻,堇
群,開,三,真B,去,見,臻,廑
邪,開,三,真A,去,精,臻,藎
邪,開,三,眞A,去,,臻,贐
精/精,開/開,三/三,侵A/侵A,平/去,,深/深,祲
精,開,三,真A,去,精,臻,搢
精,開,三,真A,去,精,臻,瑨
見,開,三,欣,上,,臻,墐
群,開,三,真B,去,見,臻,殣
,,,,,,,猄
初,開,二,耕,平,莊,梗,凈
見,開,四,青,去,,梗,俓
從,開,三,清,去,,梗,婧
見,合,四,青,平,見,梗,坰
見,合,四,青,平,見,梗,扃
見,合,四,青,平,見,梗,駉
匣,合,四,青,上,影,梗,泂
溪,合,四,青,上,,梗,絅
見,合,四,青,平,,梗,絅
溪,合,四,青,上,見,梗,褧
見,開,三,幽,平,見,流,樛
見/以,開/開,三/三,尤/尤,去/上,,流/流,㝌
見,開,三,尤,去,見,流,廏
,,,,,,,苴
精,開,三,魚,平,,遇,苴
見,開,三,東,入,見,通,匊
見,合,三,虞,平,,遇,捄
羣,開,三,尤,平,,流,捄
精,開,三,麻,平,精,假,罝
見,合,三,虞,平,見,遇,痀
見,開,三,魚,平,見,遇,琚
見,開,三,魚,平,,遇,椐
見,合,三,虞,平,見,遇,跔
清,開,三,魚,平,精,遇,雎
群,開,三,鍾,入,見,通,跼
精,開,三,侵A,入,精,深,蓻
見,合,四,青,入,見,梗,鶪
見,合,三,虞,上,見,遇,椇
見,開,三,魚,上,見,遇,筥
見/見,合/合,三/三,虞/虞,上/去,,遇/遇,蒟
羣/羣,開/開,三/三,魚/魚,上/去,,遇/遇,詎
見,合,三,虞,去,見,遇,邭
群,開,三,魚,上,見,遇,秬
群,合,三,虞,去,見,遇,埧
從,開,三,魚,上,精,遇,跙
羣,合,三,虞,上,,遇,窶
見,合,三,虞,去,見,遇,屨
羣,合,三,虞,上,,遇,窶
羣,開,三,魚,上,,遇,簴
羣,開,三,魚,平,,遇,鐻
羣,開,三,魚,上,,遇,鐻
見,開,三,魚,去,,遇,鐻
精,合,三,仙A,平,,山,脧
,,,,,,,脧
見,合,四,先,平,,山,鞙
匣,合,四,先,上,,山,鞙
見,合,四,先,去,,山,狷
影,合,三,仙A,平,影,山,悁
見,合,三,仙B,去,見,山,睠
見/見,合/合,四/四,先/先,去/平,,山/山,睊
見,合,四,先,去,,山,罥
見,合,四,先,去,見,山,獧
見,合,四,先,上,見,山,羂
見,開,三,陽,入,見,宕,屩
群,合,三,元,入,見,山,亅
見,合,二,夬,去,見,蟹,夬
見,合,四,先,入,見,山,玦
見,開,二,覺,入,,江,捔
見,合,四,屑,入,,山,觖
見,開,二,江,入,見,江,傕
見,合,三,元,入,見,山,劂
精/精,合/合,三/三,薛A/祭A,入/去,,山/山,蕝
以,合,三,術,入,,臻,潏
見,合,四,屑,入,,山,潏
見,合,四,先,入,見,山,鴂
見,合,三,元,入,見,山,蟨
見,合,四,先,入,見,山,觼
從,開,三,藥,入,,宕,爝
精,開,三,宵A,去,,效,爝
溪/見,合/合,三/三,藥/藥,入/入,,宕/宕,躩
見,合,三,文,平,,臻,皸
見,合,三,真B,平,見,臻,麕
見,合,三,文,去,見,臻,攈
從,合,三,仙A,上,精,山,隽
精,合,三,真A,去,精,臻,餕
,,,,,,,珺
群,合,三,真B,上,見,臻,㖥
精,合,三,真A,去,精,臻,畯
來,開,一,東,去,來,通,哢
,,,,,,,鐦
見/疑,開/開,一/一,咍/咍,平/平,,蟹/蟹,剴
溪,開,一,咍,上,見,蟹,塏
溪,開,一,泰,去,,蟹,欬
影,開,二,夬,去,,蟹,欬
溪,開,一,覃,平,,咸,嵁
匣,開,一,覃,上,影,咸,欿
溪,開,一,覃,上,,咸,歁
溪,開,一,,入,,咸,歁
溪/溪,開/開,一/一,覃/覃,上/去,,咸/咸,轗
溪/溪,開/開,一/一,寒/寒,去/上,,山/山,衎
溪,開,一,唐,平,見,宕,漮
,,,,,,,匟
溪,開,一,豪,平,見,效,尻
溪,開,一,豪,上,見,效,攷
溪,開,一,豪,上,見,效,栲
影,開,一,歌,平,,果,疴
溪,開,二,麻,去,,假,疴
影,開,一,覃,入,影,咸,搕
溪,合,一,歌,平,見,果,薖
,,,,,,,樖
溪,開,二,庚,入,見,梗,揢
,,,,,,,掯
溪,開,二,耕,平,見,梗,硜
溪/匣,開/開,二/二,耕/耕,平/平,,梗/梗,牼
溪,開,一,東,平,,通,崆
溪,開,一,東,平,,通,悾
溪,開,一,東,去,見,通,鞚
溪,開,一,侯,平,見,流,彄
溪,開,一,侯,去,,流,筘
溪,開,一,侯,去,見,流,簆
溪,合,一,魂,入,見,臻,矻
溪,開,一,模,平,見,遇,刳
溪,開,一,模,平,見,遇,跍
溪,合,一,冬,入,見,通,嚳
溪,合,二,麻,平,見,假,姱
,,,,,,,咵
見,合,一,泰,去,見,蟹,鱠
溪,合,一,寒,上,見,山,窾
群,合,三,陽,去,見,宕,誆
,,,,,,,㳝
見,合,三,陽,去,,宕,诳
溪,合,一,唐,去,見,宕,纊
見,合,二,庚,上,見,梗,鑛
曉,合,三,陽,去,影,宕,貺
溪,合,四,齊,平,見,蟹,刲
溪,合,一,灰,平,,蟹,悝
來,開,三,之,上,,止,悝
羣,開,三,尤,平,,流,頄
,,,,,,,暌
群,合,三,脂B,平,見,止,戣
溪,合,三,支A,上,見,止,跬
疑,合,一,沒,入,,臻,卼
羣,合,三,脂B,去,,止,蕢
見,合,一,灰,去,見,蟹,憒
見,合,三,脂B,去,見,止,媿
見,合,三,微,去,,止,瞶
匣,合,一,魂,上,影,臻,焜
見,合,一,魂,平,見,臻,鵾
溪,合,一,魂,上,見,臻,閫
溪,合,一,魂,上,見,臻,悃
溪,合,一,魂,上,,臻,稛
溪,合,一,寒,入,見,山,蛞
溪,合,一,唐,入,見,宕,鞹
來,開,一,覃,入,來,咸,㕇
心,開,三,清A,入,精,梗,腊
清,開,三,魚,去,,遇,蜡
崇,開,二,麻,去,,假,蜡
,,,,,,,蜡
來,開,一,咍,平,來,蟹,䅘
來,開,一,咍,平,來,蟹,騋
來,開,一,泰,去,來,蟹,藾
來,開,一,泰,去,來,蟹,䄤
,,,,,,,襴
,,,,,,,𨅏
來,開,一,寒,平,,山,囒
來,開,一,寒,平,來,山,躝
來,開,一,談,平,,咸,㩜
來,開,一,談,上,來,咸,罱
來,開,一,寒,去,來,山,糷
來,開,一,唐,平,來,宕,桹
來,開,一,唐,平,來,宕,鋃
來,開,一,唐,平,來,宕,稂
來,開,一,唐,平,來,宕,筤
,,,,,,,㫰
,,,,,,,塱
來,開,一,唐,去,來,宕,埌
來,開,一,唐,去,來,宕,蒗
,,,,,,,唥
來,開,一,豪,平,,效,蟧
,,,,,,,狫
,,,,,,,犵
來,開,一,德,入,,曾,扐
,,,,,,,扐
來,開,一,登,入,來,曾,艻
來,開,一,登,入,來,曾,泐
來,開,一,登,入,來,曾,竻
,,,,,,,㖀
,,,,,,,蔂
來,合,三,脂A,平,,止,蔂
來,合,三,脂A,平,,止,嫘
來,合,三,脂A,平,,止,縲
,,,,,,,𧒽
來,合,一,灰,平,來,蟹,罍
來,合,三,脂A,上,來,止,誄
來,合,三,脂A,上,來,止,藟
來/來,合/合,三/三,脂A/脂A,平/上,,止/止,鸓
來/來,合/合,一/一,泰/灰,去/去,,蟹/蟹,酹
來,合,一,灰,去,來,蟹,纇
,,,,,,,唎
曉/徹,開/開,三/三,屋/屋,入/入,,通/通,荲
來,開,三,支A,平,來,止,灕
來,開,三,支A,平,來,止,縭
來,開,四,齊,平,來,蟹,瓈
來,開,三,之,平,來,止,嫠
來,開,三,支A,平,來,止,褵
來,開,三,支A,平,來,止,醨
來/來,開/開,三/四,支A/齊,平/平,,止/蟹,謧
,,,,,,,嚟
生,開,三,支B,上,莊,止,纚
,,,,,,,𢃇
來,開,四,齊,上,來,蟹,鱧
來,開,四,青,入,來,梗,櫪
以,開,三,脂A,去,以,止,隶
來,開,四,錫,入,,梗,酈
來,開,四,錫,入,,梗,轢
來,開,三,祭A,去,,蟹,栵
來,開,三,薛A,入,,山,栵
來/來,開/開,三/三,薛A/祭A,入/去,,山/蟹,栵
,,,,,,,脷
來,開,三,祭A,去,,蟹,糲
來,開,四,齊,去,來,蟹,悷
來,開,一,鐸,入,,宕,躒
來,開,四,錫,入,,梗,躒
,,,,,,,𠌯
來,開,三,真A,入,來,臻,凓
來,開,三,真A,入,來,臻,篥
來,開,三,祭A,去,來,蟹,濿
來/來,開/開,一/三,泰/祭A,去/去,,蟹/蟹,犡
來,開,三,祭A,去,來,蟹,禲
來,開,四,齊,去,,蟹,盭
來,開,三,鹽A,平,,咸,帘
來,開,三,鹽A,平,來,咸,㡘
來,開,四,添,平,來,咸,熑
,,,,,,,磏
,,,,,,,臁
來,開,四,添,平,來,咸,燫
,,,,,,,𦆆
來,開,三,仙A,上,來,山,璉
,,,,,,,襝
來,開,三,鹽A,平,,咸,蘞
曉,開,一,談,平,影,咸,歛
來,開,三,仙A,上,,山,摙
來,開,一,唐,去,來,宕,䕞
來,開,三,陽,平,,宕,樑
幫,開,三,蒸,平,幫,曾,冫
來,開,三,陽,上,,宕,両
,,,,,,,靚
從,開,三,清,去,,梗,靚
來,開,四,蕭,平,來,效,膋
來,開,四,蕭,平,,效,憀
來,開,四,蕭,平,,效,憭
來/來/來,開/開/開,四/三/四,蕭/宵A/蕭,平/上/去,,效/效/效,嫽
,,,,,,,暸
來/來,開/開,四/三,蕭/宵A,平/去,,效/效,鷯
,,,,,,,蹘
並,開,二,肴,平,,效,尥
匣,開,四,添,入,影,咸,劦
來,開,三,薛A,入,,山,洌
來,合,三,仙A,入,來,山,埒
來,開,三,葉A,入,,咸,擸
來,開,三,鹽A,入,來,咸,躐
來,開,三,鹽A,入,來,咸,鱲
來,開,三,眞A,平,,臻,潾
來,開,三,真A,去,來,臻,粦
來,開,三,眞A,平,,臻,轔
來,開,三,真A,平,來,臻,驎
,,,,,,,㨆
來,開,三,侵A,上,來,深,懍
來,開,三,真A,去,來,臻,悋
來,開,三,真A,上,來,臻,僯
來,開,三,真A,去,來,臻,躙
來,開,四,青,平,來,梗,灵
來,開,四,青,平,,梗,玲
來,開,四,青,平,來,梗,鴒
來,開,三,清A,上,來,梗,袊
來,開,四,青,平,,梗,羚
來,開,四,青,平,來,梗,麢
來,開,四,青,平,來,梗,軨
來,開,一,登,平,來,曾,輘
來,開,四,青,平,來,梗,醽
來,開,四,青,平,來,梗,岭
,,,,,,,𧳽
來,開,三,尤,平,來,流,旒
來,開,三,尤,平,來,流,騮
來,開,三,尤,平,來,流,飀
來,開,三,尤,平,來,流,鶹
來,開,三,尤,平,,流,鎏
來,開,三,尤,上,來,流,罶
來,開,一,東,平,,通,瀧
生,開,二,江,平,,江,瀧
來,開,二,江,平,,江,瀧
來/來,開/開,一/一,東/東,平/上,,通/通,曨
來,開,三,東,平,來,通,癃
來,開,一,東,平,,通,襱
來,開,一,東,上,來,通,竉
來,開,一,侯,平,,流,慺
來,開,一,侯,平,來,流,艛
來/來,合/開,三/一,虞/侯,平/平,,遇/流,䝏
來,開,一,侯,去,,流,瘺
來,開,一,模,平,來,遇,櫨
來,開,一,模,平,來,遇,瓐
來,開,一,模,平,來,遇,矑
來,開,一,模,平,來,遇,籚
來,開,一,模,平,來,遇,纑
來,開,一,模,平,來,遇,鑪
來,開,一,模,上,來,遇,艣
,,,,,,,甪
來,開,一,模,去,來,遇,輅
來,開,三,鍾,入,來,通,菉
來,開,三,燭,入,,通,淥
來,開,一,東,入,來,通,睩
來,開,三,東,入,來,通,稑
來/來,開/開,三/三,屋/尤,入/去,,通/流,僇
來,開,一,東,入,來,通,摝
來,開,三,鍾,入,來,通,醁
,,,,,,,熝
來,開,一,東,入,來,通,簏
來,開,三,鍾,入,來,通,騄
來,開,一,模,去,來,遇,簬
來,合,一,魂,上,來,臻,㤻
來,合,三,諄,平,,臻,蜦
來,合,三,真A,平,來,臻,䑳
來,開,一,歌,平,來,果,𤄷
來,開,一,歌,平,來,果,欏
來,合,一,歌,上,來,果,蓏
來,合,一,戈,平,,果,蠃
來,合,一,戈,上,,果,蠃
來,開,一,歌,上,來,果,攞
來,開,一,鐸,入,,宕,濼
來,開,二,江,入,來,江,犖
來,開,一,唐,入,來,宕,雒
透,開,一,覃,入,端,咸,漯
來,開,三,魚,上,來,遇,膂
來,合,三,真A,入,來,臻,繂
,,,,,,,𧭜
來,開,三,魚,去,來,遇,鑢
,,,,,,,蔴
明,開,二,麻,去,幫,假,禡
明,開,二,夬,去,幫,蟹,勱
明,開,二,耕,入,幫,梗,霢
明,開,一,寒,平,幫,山,鞔
明,開,二,刪,平,幫,山,鬘
,,,,,,,屘
明,開,一,談,上,幫,咸,𩛎
,,,,,,,僈
,,,,,,,摱
,,,,,,,熳
明/明,合/合,一/一,桓/桓,平/去,,山/山,鏝
明,開,一,唐,平,幫,宕,恾
明,開,二,江,平,幫,江,尨
明,開,一,唐,平,幫,宕,𥐞
明,開,二,江,平,幫,江,厖
明,合,三,陽,平,幫,宕,硭
明,開,二,肴,上,,效,茆
來,開,三,尤,上,,流,茆
明,開,一,豪,平,,效,牦
明,開,一,豪,平,,效,旄
明,開,一,豪,去,,效,旄
明,開,一,豪,平,幫,效,酕
,,,,,,,髳
明,開,一,東,平,,通,髳
明,開,三,尤,平,,流,蝥
明,開,二,肴,平,,效,蝥
明,合,三,虞,平,,遇,蝥
明,合,三,虞,去,,遇,蝥
明,合,三,尤,平,幫,流,蟊
,,,,,,,冇
明,開,一,豪,平,,效,芼
明,開,一,豪,去,,效,芼
明,開,一,豪,去,,效,耄
明,開,一,豪,去,,效,媢
,,,,,,,皃
明,開,一,侯,去,,流,瞀
,,,,,,,孭
明,合,一,戈,平,,果,麽
明/明,合/合,一/一,灰/灰,平/去,,蟹/蟹,脢
明,開,三,脂B,平,,止,郿
明,合,一,灰,平,幫,蟹,腜
明,合,一,灰,平,幫,蟹,禖
明,合,一,灰,平,幫,蟹,鋂
,,,,,,,凂
明,合,一,灰,上,幫,蟹,浼
明,開,三,脂B,上,幫,止,媺
明/明,開/合,一/三,泰/微,去/去,,蟹/蟹,沬
明/曉,合/合,一/一,灰/灰,去/去,,蟹/蟹,痗
明,開,二,皆,去,,蟹,韎
明,合,一,魂,平,幫,臻,璊
,,,,,,,掹
明,開,三,東,平,,通,瞢
明,開,一,東,平,幫,通,幪
明,開,一,東,上,幫,通,曚
明/明,開/開,一/一,東/東,平/去,,通/通,艨
明,開,一,東,平,幫,通,饛
,,,,,,,𠵼
泥,開,四,齊,上,端,蟹,禰
明,開,四,齊,平,幫,蟹,麛
明,開,三,支B,平,,止,蘼
明,開,三,支B,平,,止,醾
明/明,開/開,三/三,質B/質A,入/入,,臻/臻,宓
明,開,四,青,入,幫,梗,鼏
明,開,三,眞A,上,,臻,黽
明,開,三,仙A,上,,山,黽
明,開,二,耕,上,,梗,黽
明/明,開/開,四/四,先/先,去/上,,山/山,眄
明,開,三,仙B,上,幫,山,俛
明,開,三,仙A,上,幫,山,勔
明,開,三,仙A,上,幫,山,愐
,,,,,,,腼
明,開,三,宵A,上,幫,效,杪
,,,,,,,哶
曉,合,三,仙A,入,影,山,烕
明,開,三,仙A,入,幫,山,搣
明,開,四,先,入,幫,山,衊
明,開,四,屑,入,,山,㩢
明,開,四,齊,去,,蟹,㩢
明,開,二,黠,入,,山,㩢
疑/疑,開/開,三/四,薛B/屑,入/入,,山/山,闑
明,開,四,先,入,幫,山,蠛
明,合,一,灰,平,幫,蟹,玟
明,開,三,真B,平,幫,臻,旻
明,開,三,真B,平,幫,臻,珉
明,開,三,真B,平,幫,臻,緍
明,開,三,眞B,上,,臻,暋
明,開,三,真B,上,幫,臻,愍
明,開,三,真B,上,幫,臻,鰵
明,開,四,青,平,,梗,蓂
明,開,四,錫,入,,梗,蓂
,,,,,,,嚤
明,開,一,模,平,幫,遇,嫫
明/明,合/開,一/二,戈/麻,平/平,,果/假,𥂓
明,開,二,庚,入,幫,梗,貊
明,開,一,寒,入,幫,山,靺
明,開,一,唐,入,幫,宕,鏌
明,開,一,唐,入,幫,宕,瘼
明,開,一,登,入,幫,曾,纆
明,合,三,尤,平,幫,流,侔
明,合,三,尤,平,幫,流,麰
明,合,三,尤,平,幫,流,鍪
,,,,,,,仫
明,開,一,東,入,幫,通,楘
明,開,一,東,入,幫,通,霂
,,,,,,,乸
娘,開,二,麻,平,知,假,拏
,,,,,,,𪐀
泥,開,一,覃,入,端,咸,軜
,,,,,,,𤸻
,,,,,,,孻
日,開,三,咍,上,日,蟹,疓
泥,開,一,泰,去,端,蟹,柰
泥/泥,開/開,一/一,咍/咍,去/上,,蟹/蟹,鼐
孃,開,二,咸,平,,咸,諵
孃,開,二,咸,去,,咸,諵
,,,,,,,𧕴
泥,開,一,覃,上,端,咸,揇
泥,開,一,覃,上,端,咸,腩
孃,開,二,刪,上,,山,戁
,,,,,,,饢
泥,開,一,唐,去,端,宕,儾
,,,,,,,齉
娘,開,二,麻,平,知,假,詉
娘,開,二,肴,平,知,效,怓
泥,開,一,豪,平,端,效,峱
孃,開,二,肴,平,,效,硇
,,,,,,,嫐
,,,,,,,㕶
泥,開,四,齊,上,端,蟹,坭
疑,開,四,齊,平,見,蟹,猊
疑,開,四,齊,平,見,蟹,輗
孃,開,二,佳,上,,蟹,嬭
孃/孃,開/開,三/三,脂B/脂B,上/平,,止/止,柅
疑,開,三,職,入,,曾,薿
疑,開,三,之,上,,止,薿
泥,開,四,青,入,端,梗,惄
,,,,,,,𠸺
孃/孃,開/開,三/三,職/質B,入/入,,曾/臻,㥾
,,,,,,,䁥
,,,,,,,𪙛
,,,,,,,淰
泥/日,開/開,四/三,先/仙A,上/上,,山/山,蹨
孃,開,三,陽,平,,宕,孃
泥,開,四,蕭,上,,效,裊
泥,開,四,蕭,上,端,效,嬲
疑,開,四,先,入,見,山,臬
疑,開,四,先,入,見,山,臲
孃/泥,開/開,三/四,葉B/怗,入/入,,咸/咸,籋
澄/澄,開/開,三/三,魚/魚,上/平,,遇/遇,宁
孃/孃,開/開,三/三,尤/尤,上/去,,流/流,狃
孃,開,三,尤,上,,流,杻
孃,開,三,鍾,平,,通,燶
孃/日,開/開,三/三,鍾/鍾,平/平,,通/通,穠
娘,開,三,鍾,平,知,通,醲
泥,開,一,模,平,端,遇,孥
泥,開,一,模,平,端,遇,駑
,,,,,,,伮
泥,合,一,寒,上,端,山,餪
疑/泥,合/合,一/一,戈/戈,上/上,,果/果,㛂
孃/孃,開/開,三/三,屋/職,入/入,,通/曾,恧
,,,,,,,𢰡
,,,,,,,𩥋
滂,開,二,麻,平,幫,假,舥
並,開,二,麻,上,,假,跁
,,,,,,,潖
滂/滂,開/開,二/二,刪/刪,平/上,,山/山,眅
並,合,一,桓,平,,山,搫
並,合,一,戈,平,,果,搫
幫,開,二,刪,平,幫,山,螌
並,開,一,寒,平,幫,山,鞶
滂,開,一,寒,去,幫,山,頖
,,,,,,,胮
滂,開,一,唐,平,幫,宕,雱
滂,開,一,唐,平,幫,宕,霶
並,開,二,江,平,幫,江,逄
並,開,一,唐,平,幫,宕,䠙
滂,開,二,肴,平,幫,效,脬
並,開,二,肴,平,,效,麃
並,開,二,肴,平,幫,效,炰
並,開,二,肴,平,幫,效,匏
並,開,二,肴,平,,效,鞄
滂,開,二,肴,去,幫,效,礮
並/滂,開/開,二/二,肴/肴,去/去,,效/效,疱
並,開,一,泰,去,幫,蟹,旆
滂,開,一,泰,去,幫,蟹,霈
並,合,三,文,平,,臻,濆
並,開,一,東,平,,通,芃
並,開,三,東,平,,通,芃
,,,,,,,塳
幫,開,一,唐,去,,宕,搒
並,開,二,庚,平,,梗,搒
並,開,一,東,平,幫,通,髼
並,開,一,登,平,幫,曾,鬅
並,開,二,庚,平,,梗,蟛
滂,開,三,脂B,平,幫,止,伾
滂,開,三,脂A,平,,止,紕
滂,開,三,脂B,平,幫,止,豾
滂,開,三,脂B,平,幫,止,駓
,,,,,,,㓟
並,開,三,脂A,平,幫,止,蚍
並,開,三,支A,平,幫,止,陴
並,開,三,支A,平,幫,止,埤
幫,開,三,支B,平,幫,止,羆
並,開,三,脂A,平,,止,膍
,,,,,,,𥀷
滂,開,三,支A,上,,止,仳
,,,,,,,鴄
並,開,三,昔,入,,梗,擗
,,,,,,,擗
並,開,四,青,入,幫,梗,甓
並,開,三,仙A,上,,山,諞
並,開,三,仙B,上,,山,諞
並,開,三,仙A,平,,山,諞
滂/並,開/開,三/三,宵A/宵A,平/平,,效/通,螵
並,開,三,宵A,平,幫,效,薸
並/滂/並,開/合/開,三/三/三,宵B/虞/旨B,上/平/上,,效/遇/止,殍
匣,開,二,山,平,影,山,瞯
滂,開,四,屑,入,,山,丿
以,開,三,祭A,去,,蟹,丿
並,開,三,真A,平,幫,臻,㰋
